marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,8582,39024,2023-07-2
RENAULT,KWID,6602,33248,2023-07-2
VW,GOL,122,6053,2023-07-2
VW,FUSCA,5,51,2023-07-2
FIAT,UNO,4,24,2023-07-2
FIAT,PALIO,1,5,2023-07-2
VW,UP,0,4,2023-07-2
GM,CHEVETTE,1,3,2023-07-2
FIAT,147,0,1,2023-07-2
GM,ONIX,10260,54370,2023-07-2
VW,POLO,16471,54193,2023-07-2
HYUNDAI,HB20,12126,46128,2023-07-2
FIAT,ARGO,7159,39079,2023-07-2
PEUGEOT,208,3104,14650,2023-07-2
CITROEN,C3,3030,14368,2023-07-2
TOYOTA,YARIS_HB,1609,13489,2023-07-2
HONDA,CITY_HATCH,673,7313,2023-07-2
RENAULT,SANDERO,1348,4907,2023-07-2
MINI,COOPER,58,424,2023-07-2
JAC,E-JS1,39,260,2023-07-2
BYD,DOLPHIN,80,97,2023-07-2
GM,CRUZE_HB,33,238,2023-07-2
AUDI,A3,48,224,2023-07-2
NISSAN,LEAF,7,168,2023-07-2
MBENZ,CLASSE_A,5,30,2023-07-2
BMW,118i,6,22,2023-07-2
TOYOTA,COROLLA_GR,17,17,2023-07-2
FIAT,CRONOS,5036,24231,2023-07-2
HYUNDAI,HB20S,4811,14310,2023-07-2
RENAULT,LOGAN,1923,3289,2023-07-2
VW,VOYAGE,0,2068,2023-07-2
FIAT,SIENA,1,16,2023-07-2
TOYOTA,ETIOS_SEDAN,1,3,2023-07-2
GM,PRISMA,0,2,2023-07-2
FORD,FIESTA_SEDAN,0,1,2023-07-2
FORD,KA_SEDAN,0,1,2023-07-2
GM,CLASSIC,0,1,2023-07-2
GM,ONIX_PLUS,6412,42138,2023-07-2
VW,VIRTUS,2729,12418,2023-07-2
TOYOTA,YARIS_SEDAN,2505,8562,2023-07-2
HONDA,CITY,1060,7656,2023-07-2
NISSAN,VERSA,1086,4657,2023-07-2
FORD,CORCEL,2,8,2023-07-2
TOYOTA,COROLLA,3812,23664,2023-07-2
NISSAN,SENTRA,275,2228,2023-07-2
VW,JETTA,162,806,2023-07-2
GM,CRUZE_SEDAN,113,675,2023-07-2
AUDI,A3_SEDAN,71,393,2023-07-2
CAOA_CHERY,ARRIZO_6,58,390,2023-07-2
HONDA,CIVIC,4,324,2023-07-2
AUDI,A5,52,291,2023-07-2
JAC,E-J7,5,70,2023-07-2
MBENZ,CLA45,4,64,2023-07-2
BMW,420I,11,60,2023-07-2
BMW,218I,4,54,2023-07-2
MBENZ,CLA35,2,40,2023-07-2
HYUNDAI,IONIQ,1,17,2023-07-2
KIA,CERATO,1,15,2023-07-2
TESLA,MODEL_3,3,11,2023-07-2
BYD,SEAL,9,9,2023-07-2
MBENZ,CLASSE_A,0,5,2023-07-2
GM,IMPALA,0,1,2023-07-2
RENAULT,FLUENCE,0,1,2023-07-2
TOYOTA,PRIUS,0,1,2023-07-2
BMW,320I,350,2643,2023-07-2
MBENZ,CLASSE_C,93,399,2023-07-2
BMW,330E,9,365,2023-07-2
AUDI,A4,22,243,2023-07-2
PORSCHE,PANAMERA,33,208,2023-07-2
MBENZ,CLA250,16,201,2023-07-2
BMW,I4,14,86,2023-07-2
BYD,HAN,7,61,2023-07-2
BMW,530E,9,54,2023-07-2
LEXUS,ES300,10,47,2023-07-2
TOYOTA,CAMRY,1,31,2023-07-2
AUDI,E_TRON_GT,3,22,2023-07-2
VW,PARATI,0,2,2023-07-2
VW,SPACE_FOX,0,1,2023-07-2
AUDI,RS6_AVANT,3,23,2023-07-2
GM,CARAVAN,0,1,2023-07-2
VW,QUANTUM,0,1,2023-07-2
GM,BOLT,18,38,2023-07-2
FIAT,DOBLO,0,3,2023-07-2
NISSAN,LIVINA,0,1,2023-07-2
GM,SPIN,2026,10617,2023-07-2
BYD,D1,143,163,2023-07-2
KIA,CARNIVAL,0,23,2023-07-2
CHRYSLER,PACIFICA,2,7,2023-07-2
PORSCHE,911,51,463,2023-07-2
FORD,MUSTANG,25,243,2023-07-2
BMW,M3,18,186,2023-07-2
PORSCHE,TAYCAN,23,167,2023-07-2
PORSCHE,BOXSTER,14,127,2023-07-2
PORSCHE,CAYMAN,16,82,2023-07-2
JAGUAR,F-TYPE,8,49,2023-07-2
GM,CORVETTE,3,36,2023-07-2
MCLAREN,ARTURA,2,30,2023-07-2
VW,T_CROSS,8553,40587,2023-07-2
HYUNDAI,CRETA,5314,35262,2023-07-2
JEEP,COMPASS,4707,35056,2023-07-2
GM,TRACKER,5438,34401,2023-07-2
JEEP,RENEGADE,5556,27875,2023-07-2
VW,NIVUS,6498,27375,2023-07-2
NISSAN,KICKS,4752,26814,2023-07-2
HONDA,HR-V,4983,25525,2023-07-2
FIAT,PULSE,3994,25438,2023-07-2
TOYOTA,COROLLA_CROSS,3630,25113,2023-07-2
FIAT,FASTBACK,3635,21130,2023-07-2
RENAULT,DUSTER,1801,12574,2023-07-2
JEEP,COMMANDER,1408,11917,2023-07-2
TOYOTA,HILUX_SW4,1261,8132,2023-07-2
VW,TAOS,1203,7632,2023-07-2
CAOA_CHERY,TIGGO_5X,1201,4998,2023-07-2
