marca,modelo,emplacados,acumulado_anual,data
RENAULT,KWID,4262,7442,2022-02-2
FIAT,MOBI,4162,6689,2022-02-2
VW,GOL,1710,5145,2022-02-2
FIAT,UNO,46,668,2022-02-2
VW,FUSCA,2,12,2022-02-2
VW,UP,1,2,2022-02-2
GM,CELTA,1,1,2022-02-2
HYUNDAI,HB20,6161,11795,2022-02-2
GM,ONIX,6541,11744,2022-02-2
FIAT,ARGO,4321,6997,2022-02-2
PEUGEOT,208,1847,3836,2022-02-2
TOYOTA,YARIS_HB,2067,3022,2022-02-2
RENAULT,SANDERO,469,1076,2022-02-2
VW,POLO,295,548,2022-02-2
HONDA,CITY_HATCH,245,247,2022-02-2
MINI,COOPER,64,139,2022-02-2
FIAT,500E,88,107,2022-02-2
JAC,E-JS1,48,78,2022-02-2
RENAULT,ZOE,5,56,2022-02-2
NISSAN,LEAF,49,90,2022-02-2
AUDI,A3,28,76,2022-02-2
GM,CRUZE_HB,53,74,2022-02-2
BMW,I3,0,12,2022-02-2
MBENZ,CLASSE_A,2,5,2022-02-2
FORD,FOCUS,0,2,2022-02-2
HYUNDAI,HB20S,2055,4446,2022-02-2
FIAT,SIENA,2637,3303,2022-02-2
FIAT,CRONOS,839,2570,2022-02-2
RENAULT,LOGAN,1363,1970,2022-02-2
VW,VOYAGE,187,666,2022-02-2
NISSAN,VERSA,2,4,2022-02-2
GM,PRISMA,2,3,2022-02-2
FORD,KA_SEDAN,0,2,2022-02-2
TOYOTA,ETIOS_SEDAN,0,2,2022-02-2
GM,CORSA_SEDAN,1,1,2022-02-2
GM,ONIX_PLUS,4489,7920,2022-02-2
HONDA,CITY,2326,3337,2022-02-2
NISSAN,VERSA,1056,1850,2022-02-2
TOYOTA,YARIS_SEDAN,1202,1794,2022-02-2
VW,VIRTUS,301,913,2022-02-2
GM,COBALT,4,4,2022-02-2
TOYOTA,COROLLA,2729,4871,2022-02-2
HONDA,CIVIC,471,1604,2022-02-2
GM,CRUZE_SEDAN,477,935,2022-02-2
CAOA_CHERY,ARRIZO_6,166,436,2022-02-2
AUDI,A3_SEDAN,56,116,2022-02-2
KIA,CERATO,38,82,2022-02-2
VW,JETTA,10,36,2022-02-2
AUDI,A5,16,34,2022-02-2
BMW,218I,4,7,2022-02-2
MBENZ,CLA35,5,7,2022-02-2
MBENZ,CLASSE_A,4,7,2022-02-2
BMW,M235I,0,5,2022-02-2
BMW,M440I,0,4,2022-02-2
BMW,420I,0,2,2022-02-2
MBENZ,CLASSE_C,1,1,2022-02-2
BMW,320I,447,706,2022-02-2
MBENZ,CLASSE_C,163,301,2022-02-2
PORSCHE,PANAMERA,23,37,2022-02-2
BMW,330E,15,32,2022-02-2
AUDI,A4,3,28,2022-02-2
BMW,M340I,8,14,2022-02-2
BMW,530E,6,11,2022-02-2
HONDA,ACCORD,5,11,2022-02-2
MBENZ,CLA250,4,9,2022-02-2
TESLA,MODEL_S,4,8,2022-02-2
AUDI,E_TRON_GT,2,7,2022-02-2
VOLVO,S90,1,5,2022-02-2
FIAT,PALIO_WEEKEND,0,1,2022-02-2
AUDI,RS6_AVANT,2,4,2022-02-2
AUDI,RS4_AVANT,3,3,2022-02-2
GM,CARAVAN,0,1,2022-02-2
HONDA,FIT,55,209,2022-02-2
FIAT,DOBLO,83,131,2022-02-2
GM,BOLT,0,1,2022-02-2
GM,SPIN,88,601,2022-02-2
KIA,CARNIVAL,39,88,2022-02-2
CHRYSLER,PACIFICA,0,1,2022-02-2
TOYOTA,SIENNA,0,1,2022-02-2
FORD,MUSTANG,21,69,2022-02-2
PORSCHE,TAYCAN,22,43,2022-02-2
PORSCHE,911,23,39,2022-02-2
PORSCHE,BOXSTER,23,33,2022-02-2
PORSCHE,CAYMAN,7,15,2022-02-2
BMW,M3,8,13,2022-02-2
MBENZ,AMG_GT_BS,9,12,2022-02-2
GM,CORVETTE,4,9,2022-02-2
JAGUAR,F-TYPE,7,7,2022-02-2
JEEP,COMPASS,4503,9408,2022-02-2
VW,T_CROSS,5118,8879,2022-02-2
HYUNDAI,CRETA,4163,8338,2022-02-2
JEEP,RENEGADE,2229,7227,2022-02-2
TOYOTA,COROLLA_CROSS,3732,6210,2022-02-2
GM,TRACKER,3419,5794,2022-02-2
FIAT,PULSE,1843,5035,2022-02-2
CITROEN,C4_CACTUS,1587,3870,2022-02-2
VW,NIVUS,2417,3801,2022-02-2
JEEP,COMMANDER,1614,3051,2022-02-2
RENAULT,DUSTER,1550,2993,2022-02-2
NISSAN,KICKS,1112,2794,2022-02-2
HONDA,HR-V,826,2618,2022-02-2
PEUGEOT,2008,445,2076,2022-02-2
TOYOTA,HILUX_SW4,997,1886,2022-02-2
CAOA_CHERY,TIGGO_3X,786,1809,2022-02-2
VW,TAOS,667,1613,2022-02-2
CAOA_CHERY,TIGGO_8,878,1548,2022-02-2
CAOA_CHERY,TIGGO_5X,649,1247,2022-02-2
CAOA_CHERY,TIGGO_7,730,1242,2022-02-2
RENAULT,CAPTUR,480,1047,2022-02-2
HYUNDAI,TUCSON,820,1040,2022-02-2
HONDA,WR-V,79,679,2022-02-2
GM,TRAILBLAZER,113,460,2022-02-2
MITSUBISHI,Outlander,224,408,2022-02-2
VOLVO,XC60,198,396,2022-02-2
MITSUBISHI,PAJERO,273,351,2022-02-2
MBENZ,CLASSE_GLB,93,312,2022-02-2
VOLVO,XC40,89,308,2022-02-2
AUDI,Q5,126,292,2022-02-2
MITSUBISHI,ECLIPSE_CROSS,140,279,2022-02-2
BMW,X1,127,263,2022-02-2
LAND_ROVER,DISCOVERY,129,221,2022-02-2
BMW,X5,123,197,2022-02-2
FORD,TERRITORY,64,183,2022-02-2
FORD,BRONCO,89,160,2022-02-2
LAND_ROVER,RANGE_ROVER,99,159,2022-02-2
LAND_ROVER,EVOQUE,68,137,2022-02-2
LAND_ROVER,DEFENDER,44,132,2022-02-2
SUZUKI,JIMNY,73,129,2022-02-2
