marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,7395,73428,2023-12-2
RENAULT,KWID,8104,63316,2023-12-2
VW,GOL,8,6165,2023-12-2
FIAT,UNO,5,37,2023-12-2
FIAT,PALIO,0,7,2023-12-2
VW,UP,0,6,2023-12-2
TOYOTA,ETIOS_HB,0,1,2023-12-2
VW,POLO,17999,111242,2023-12-2
GM,ONIX,10839,102043,2023-12-2
HYUNDAI,HB20,9627,88905,2023-12-2
FIAT,ARGO,5218,66717,2023-12-2
PEUGEOT,208,2636,28629,2023-12-2
CITROEN,C3,2020,26578,2023-12-2
TOYOTA,YARIS_HB,2762,23339,2023-12-2
HONDA,CITY_HATCH,813,10802,2023-12-2
RENAULT,SANDERO,758,7860,2023-12-2
BYD,DOLPHIN,2248,6806,2023-12-2
MINI,COOPER,66,788,2023-12-2
GWM,ORA_03,711,775,2023-12-2
GM,CRUZE_HB,52,432,2023-12-2
AUDI,A3,36,397,2023-12-2
NISSAN,LEAF,151,370,2023-12-2
MBENZ,CLASSE_A,6,63,2023-12-2
TOYOTA,COROLLA_GR,0,61,2023-12-2
HONDA,CIVIC_TYPE-R,4,51,2023-12-2
FIAT,CRONOS,6332,50755,2023-12-2
HYUNDAI,HB20S,3035,30281,2023-12-2
RENAULT,LOGAN,415,4559,2023-12-2
VW,VOYAGE,1,2074,2023-12-2
FIAT,SIENA,1,22,2023-12-2
GM,PRISMA,3,6,2023-12-2
TOYOTA,ETIOS_SEDAN,0,4,2023-12-2
FORD,KA_SEDAN,0,3,2023-12-2
CAOA_CHERY,CELER_SEDAN,0,2,2023-12-2
FORD,FIESTA_SEDAN,0,1,2023-12-2
GM,ONIX_PLUS,6375,74887,2023-12-2
VW,VIRTUS,3629,27094,2023-12-2
TOYOTA,YARIS_SEDAN,2702,20571,2023-12-2
HONDA,CITY,931,11841,2023-12-2
NISSAN,VERSA,1024,8858,2023-12-2
CAOA_CHERY,ARRIZO_5,0,3,2023-12-2
TOYOTA,COROLLA,4050,42923,2023-12-2
NISSAN,SENTRA,384,4146,2023-12-2
VW,JETTA,278,2230,2023-12-2
GM,CRUZE_SEDAN,175,1278,2023-12-2
BYD,SEAL,857,1040,2023-12-2
CAOA_CHERY,ARRIZO_6,19,969,2023-12-2
AUDI,A3_SEDAN,75,673,2023-12-2
AUDI,A5,40,559,2023-12-2
HONDA,CIVIC,19,475,2023-12-2
HYUNDAI,IONIQ,1,260,2023-12-2
BMW,420I,22,131,2023-12-2
MBENZ,CLA45,4,85,2023-12-2
JAC,E-J7,1,83,2023-12-2
BMW,218I,3,69,2023-12-2
MBENZ,CLA35,9,68,2023-12-2
KIA,CERATO,1,17,2023-12-2
TESLA,MODEL_3,0,16,2023-12-2
MBENZ,CLASSE_A,0,6,2023-12-2
BMW,430I,0,2,2023-12-2
LEXUS,IS_350,0,1,2023-12-2
MBENZ,CLASSE_C,0,1,2023-12-2
BMW,320I,434,4418,2023-12-2
MBENZ,CLASSE_C,200,865,2023-12-2
BMW,330E,15,568,2023-12-2
PORSCHE,PANAMERA,56,509,2023-12-2
AUDI,A4,53,348,2023-12-2
MBENZ,CLA250,0,222,2023-12-2
BMW,I4,9,155,2023-12-2
HONDA,ACCORD,52,104,2023-12-2
BMW,530E,9,96,2023-12-2
LEXUS,ES300,11,83,2023-12-2
BYD,HAN,6,78,2023-12-2
MBENZ,CLA200,45,76,2023-12-2
AUDI,RS6_AVANT,6,42,2023-12-2
GM,BOLT,2,46,2023-12-2
HONDA,FIT,3,6,2023-12-2
FIAT,DOBLO,0,3,2023-12-2
NISSAN,LIVINA,0,1,2023-12-2
RENAULT,KANGOO,0,1,2023-12-2
GM,SPIN,1814,20314,2023-12-2
BYD,D1,5,323,2023-12-2
KIA,CARNIVAL,0,25,2023-12-2
CHRYSLER,PACIFICA,1,18,2023-12-2
PORSCHE,911,126,1053,2023-12-2
FORD,MUSTANG,20,343,2023-12-2
PORSCHE,BOXSTER,57,326,2023-12-2
PORSCHE,TAYCAN,43,322,2023-12-2
