marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,6581,13325,2022-03-2
RENAULT,KWID,3585,11402,2022-03-2
VW,GOL,1193,6355,2022-03-2
FIAT,UNO,21,689,2022-03-2
VW,FUSCA,4,17,2022-03-2
VW,UP,4,6,2022-03-2
GM,CELTA,0,1,2022-03-2
GM,CHEVETTE,1,1,2022-03-2
HYUNDAI,HB20,6908,18761,2022-03-2
GM,ONIX,5421,17348,2022-03-2
FIAT,ARGO,3078,10130,2022-03-2
PEUGEOT,208,2307,6185,2022-03-2
TOYOTA,YARIS_HB,2085,5149,2022-03-2
HONDA,CITY_HATCH,1933,2195,2022-03-2
RENAULT,SANDERO,607,1729,2022-03-2
VW,POLO,491,1050,2022-03-2
MINI,COOPER,74,213,2022-03-2
JAC,E-JS1,72,152,2022-03-2
FIAT,500E,24,132,2022-03-2
RENAULT,ZOE,6,62,2022-03-2
GM,CRUZE_HB,194,269,2022-03-2
NISSAN,LEAF,12,102,2022-03-2
AUDI,A3,16,92,2022-03-2
BMW,I3,4,16,2022-03-2
MBENZ,CLASSE_A,8,13,2022-03-2
MBENZ,A45_AMG,6,6,2022-03-2
HYUNDAI,HB20S,2304,6763,2022-03-2
FIAT,SIENA,296,3601,2022-03-2
FIAT,CRONOS,785,3369,2022-03-2
RENAULT,LOGAN,798,2782,2022-03-2
VW,VOYAGE,121,788,2022-03-2
GM,PRISMA,3,6,2022-03-2
NISSAN,VERSA,1,5,2022-03-2
FORD,KA_SEDAN,1,3,2022-03-2
TOYOTA,ETIOS_SEDAN,0,2,2022-03-2
GM,CORSA_SEDAN,0,1,2022-03-2
GM,ONIX_PLUS,4179,12181,2022-03-2
HONDA,CITY,1992,5362,2022-03-2
TOYOTA,YARIS_SEDAN,1221,3036,2022-03-2
NISSAN,VERSA,835,2710,2022-03-2
VW,VIRTUS,429,1347,2022-03-2
GM,COBALT,11,15,2022-03-2
TOYOTA,COROLLA,4196,9110,2022-03-2
HONDA,CIVIC,250,1860,2022-03-2
GM,CRUZE_SEDAN,746,1689,2022-03-2
CAOA_CHERY,ARRIZO_6,181,621,2022-03-2
AUDI,A3_SEDAN,64,182,2022-03-2
KIA,CERATO,41,125,2022-03-2
AUDI,A5,14,48,2022-03-2
VW,JETTA,5,41,2022-03-2
MBENZ,CLA35,9,16,2022-03-2
MBENZ,CLASSE_A,5,12,2022-03-2
BMW,M440I,4,8,2022-03-2
BMW,218I,0,7,2022-03-2
BMW,M235I,2,7,2022-03-2
MBENZ,CLA45,4,4,2022-03-2
BMW,420I,1,3,2022-03-2
BMW,430I,1,1,2022-03-2
MBENZ,CLASSE_C,0,1,2022-03-2
BMW,320I,545,1271,2022-03-2
MBENZ,CLASSE_C,88,392,2022-03-2
PORSCHE,PANAMERA,16,53,2022-03-2
BMW,330E,13,45,2022-03-2
AUDI,A4,11,39,2022-03-2
AUDI,E_TRON_GT,11,18,2022-03-2
BMW,M340I,2,17,2022-03-2
BMW,530E,4,15,2022-03-2
MBENZ,CLA250,5,14,2022-03-2
HONDA,ACCORD,2,12,2022-03-2
TESLA,MODEL_S,2,10,2022-03-2
AUDI,A6,4,8,2022-03-2
FIAT,PALIO_WEEKEND,0,1,2022-03-2
AUDI,RS6_AVANT,0,4,2022-03-2
AUDI,RS4_AVANT,0,3,2022-03-2
GM,CARAVAN,0,1,2022-03-2
FIAT,DOBLO,169,300,2022-03-2
HONDA,FIT,16,225,2022-03-2
GM,BOLT,0,1,2022-03-2
GM,SPIN,1224,1827,2022-03-2
KIA,CARNIVAL,28,118,2022-03-2
CHRYSLER,PACIFICA,1,2,2022-03-2
TOYOTA,SIENNA,0,1,2022-03-2
FORD,MUSTANG,18,87,2022-03-2
PORSCHE,911,40,80,2022-03-2
PORSCHE,TAYCAN,26,69,2022-03-2
PORSCHE,BOXSTER,12,45,2022-03-2
PORSCHE,CAYMAN,7,22,2022-03-2
BMW,M3,8,21,2022-03-2
GM,CORVETTE,9,18,2022-03-2
JAGUAR,F-TYPE,11,18,2022-03-2
MBENZ,AMG_GT_BS,1,13,2022-03-2
VW,T_CROSS,6549,15588,2022-03-2
JEEP,COMPASS,4724,14235,2022-03-2
HYUNDAI,CRETA,4238,12667,2022-03-2
JEEP,RENEGADE,3789,11103,2022-03-2
GM,TRACKER,4748,10683,2022-03-2
TOYOTA,COROLLA_CROSS,4318,10584,2022-03-2
FIAT,PULSE,3650,8729,2022-03-2
VW,NIVUS,3154,7015,2022-03-2
NISSAN,KICKS,2569,5408,2022-03-2
RENAULT,DUSTER,1908,4984,2022-03-2
JEEP,COMMANDER,1835,4932,2022-03-2
CITROEN,C4_CACTUS,883,4794,2022-03-2
HONDA,HR-V,466,3107,2022-03-2
TOYOTA,HILUX_SW4,1201,3106,2022-03-2
CAOA_CHERY,TIGGO_3X,708,2529,2022-03-2
PEUGEOT,2008,393,2473,2022-03-2
CAOA_CHERY,TIGGO_5X,1082,2346,2022-03-2
CAOA_CHERY,TIGGO_8,543,2100,2022-03-2
VW,TAOS,445,2074,2022-03-2
CAOA_CHERY,TIGGO_7,646,1908,2022-03-2
RENAULT,CAPTUR,595,1682,2022-03-2
HYUNDAI,TUCSON,592,1641,2022-03-2
HONDA,WR-V,24,704,2022-03-2
BMW,X1,395,673,2022-03-2
MITSUBISHI,PAJERO,290,651,2022-03-2
MITSUBISHI,Outlander,208,620,2022-03-2
MBENZ,CLASSE_GLB,264,578,2022-03-2
GM,TRAILBLAZER,80,540,2022-03-2
VOLVO,XC60,103,502,2022-03-2
VOLVO,XC40,128,438,2022-03-2
MITSUBISHI,ECLIPSE_CROSS,138,421,2022-03-2
AUDI,Q5,107,401,2022-03-2
LAND_ROVER,DISCOVERY,132,357,2022-03-2
FORD,BRONCO,145,313,2022-03-2
PORSCHE,MACAN,176,278,2022-03-2
FORD,TERRITORY,80,265,2022-03-2
KIA,STONIC,137,250,2022-03-2
BMW,X5,51,249,2022-03-2
LAND_ROVER,RANGE_ROVER,72,232,2022-03-2
LAND_ROVER,EVOQUE,79,217,2022-03-2
