marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,8037,59666,2023-10-2
RENAULT,KWID,6394,49241,2023-10-2
VW,GOL,22,6153,2023-10-2
VW,FUSCA,10,76,2023-10-2
FIAT,UNO,2,31,2023-10-2
FIAT,PALIO,1,8,2023-10-2
VW,UP,0,6,2023-10-2
GM,CHEVETTE,2,5,2023-10-2
FIAT,147,0,2,2023-10-2
VW,POLO,11123,83050,2023-10-2
GM,ONIX,10657,81403,2023-10-2
HYUNDAI,HB20,7421,69221,2023-10-2
FIAT,ARGO,5257,56166,2023-10-2
PEUGEOT,208,2832,23084,2023-10-2
CITROEN,C3,2714,21252,2023-10-2
TOYOTA,YARIS_HB,1862,19173,2023-10-2
HONDA,CITY_HATCH,684,9327,2023-10-2
RENAULT,SANDERO,443,6578,2023-10-2
BYD,DOLPHIN,1366,2868,2023-10-2
MINI,COOPER,94,632,2023-10-2
JAC,E-JS1,24,372,2023-10-2
GM,CRUZE_HB,38,340,2023-10-2
AUDI,A3,45,324,2023-10-2
NISSAN,LEAF,2,219,2023-10-2
MBENZ,CLASSE_A,5,54,2023-10-2
TOYOTA,COROLLA_GR,14,54,2023-10-2
HONDA,CIVIC_TYPE-R,9,45,2023-10-2
FIAT,CRONOS,4929,38852,2023-10-2
HYUNDAI,HB20S,3442,23901,2023-10-2
RENAULT,LOGAN,177,3794,2023-10-2
VW,VOYAGE,2,2074,2023-10-2
FIAT,SIENA,3,21,2023-10-2
TOYOTA,ETIOS_SEDAN,0,4,2023-10-2
FORD,KA_SEDAN,0,3,2023-10-2
GM,PRISMA,0,3,2023-10-2
CAOA_CHERY,CELER_SEDAN,0,2,2023-10-2
DODGE,CHARGER,0,1,2023-10-2
GM,ONIX_PLUS,7114,63093,2023-10-2
VW,VIRTUS,2910,21034,2023-10-2
TOYOTA,YARIS_SEDAN,2426,16136,2023-10-2
HONDA,CITY,751,10024,2023-10-2
NISSAN,VERSA,767,7062,2023-10-2
FORD,CORCEL,0,10,2023-10-2
TOYOTA,COROLLA,3996,35305,2023-10-2
NISSAN,SENTRA,490,3436,2023-10-2
VW,JETTA,313,1672,2023-10-2
GM,CRUZE_SEDAN,121,997,2023-10-2
CAOA_CHERY,ARRIZO_6,100,896,2023-10-2
AUDI,A3_SEDAN,70,565,2023-10-2
AUDI,A5,58,460,2023-10-2
HONDA,CIVIC,33,443,2023-10-2
HYUNDAI,IONIQ,27,228,2023-10-2
BYD,SEAL,11,102,2023-10-2
