marca,modelo,emplacados,acumulado_anual,data
VW,GOL,3435,3435,2022-01-2
RENAULT,KWID,3180,3180,2022-01-2
FIAT,MOBI,2528,2528,2022-01-2
FIAT,UNO,622,622,2022-01-2
VW,FUSCA,10,10,2022-01-2
VW,UP,1,1,2022-01-2
FIAT,PALIO,0,0,2022-01-2
TOYOTA,ETIOS_HB,0,0,2022-01-2
HYUNDAI,HB20,5634,5634,2022-01-2
GM,ONIX,5205,5205,2022-01-2
FIAT,ARGO,2676,2676,2022-01-2
PEUGEOT,208,1989,1989,2022-01-2
TOYOTA,YARIS_HB,955,955,2022-01-2
RENAULT,SANDERO,607,607,2022-01-2
VW,POLO,253,253,2022-01-2
MINI,COOPER,75,75,2022-01-2
RENAULT,ZOE,51,51,2022-01-2
JAC,E-JS1,30,30,2022-01-2
VW_FOX,CROSS_FOX,23,23,2022-01-2
FIAT,500E,19,19,2022-01-2
AUDI,A3,48,48,2022-01-2
NISSAN,LEAF,41,41,2022-01-2
GM,CRUZE_HB,21,21,2022-01-2
BMW,I3,12,12,2022-01-2
MBENZ,CLASSE_A,3,3,2022-01-2
FORD,FOCUS,2,2,2022-01-2
HYUNDAI,HB20S,2391,2391,2022-01-2
FIAT,CRONOS,1732,1732,2022-01-2
FIAT,SIENA,666,666,2022-01-2
RENAULT,LOGAN,607,607,2022-01-2
VW,VOYAGE,479,479,2022-01-2
FORD,KA_SEDAN,2,2,2022-01-2
NISSAN,VERSA,2,2,2022-01-2
TOYOTA,ETIOS_SEDAN,2,2,2022-01-2
GM,PRISMA,1,1,2022-01-2
NISSAN,V-DRIVE,0,0,2022-01-2
GM,ONIX_PLUS,3431,3431,2022-01-2
HONDA,CITY,1011,1011,2022-01-2
NISSAN,VERSA,794,794,2022-01-2
VW,VIRTUS,612,612,2022-01-2
TOYOTA,YARIS_SEDAN,593,593,2022-01-2
CAOA_CHERY,ARRIZO_5,2,2,2022-01-2
TOYOTA,COROLLA,2142,2142,2022-01-2
HONDA,CIVIC,1133,1133,2022-01-2
GM,CRUZE_SEDAN,458,458,2022-01-2
CAOA_CHERY,ARRIZO_6,270,270,2022-01-2
AUDI,A3_SEDAN,60,60,2022-01-2
KIA,CERATO,44,44,2022-01-2
VW,JETTA,26,26,2022-01-2
AUDI,A5,18,18,2022-01-2
BMW,M235I,5,5,2022-01-2
BMW,M440I,4,4,2022-01-2
BMW,218I,3,3,2022-01-2
MBENZ,CLASSE_A,3,3,2022-01-2
BMW,420I,2,2,2022-01-2
MBENZ,CLA35,2,2,2022-01-2
BMW,430I,0,0,2022-01-2
GM,IMPALA,0,0,2022-01-2
MBENZ,CLA45,0,0,2022-01-2
BMW,320I,259,259,2022-01-2
MBENZ,CLASSE_C,138,138,2022-01-2
AUDI,A4,25,25,2022-01-2
BMW,330E,17,17,2022-01-2
PORSCHE,PANAMERA,14,14,2022-01-2
BMW,M340I,6,6,2022-01-2
HONDA,ACCORD,6,6,2022-01-2
AUDI,E_TRON_GT,5,5,2022-01-2
BMW,530E,5,5,2022-01-2
MBENZ,CLA250,5,5,2022-01-2
VOLVO,S90,4,4,2022-01-2
TESLA,MODEL_S,4,4,2022-01-2
FIAT,PALIO_WEEKEND,1,1,2022-01-2
VW,SPACE_FOX,0,0,2022-01-2
AUDI,RS6_AVANT,2,2,2022-01-2
GM,CARAVAN,1,1,2022-01-2
AUDI,RS4_AVANT,0,0,2022-01-2
HONDA,FIT,154,154,2022-01-2
FIAT,DOBLO,48,48,2022-01-2
GM,BOLT,1,1,2022-01-2
GM,SPIN,513,513,2022-01-2
KIA,CARNIVAL,49,49,2022-01-2
CHRYSLER,PACIFICA,1,1,2022-01-2
