marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,8724,65498,2022-11-2
VW,GOL,7320,63441,2022-11-2
RENAULT,KWID,6182,52306,2022-11-2
FIAT,UNO,5,778,2022-11-2
VW,FUSCA,4,56,2022-11-2
VW,UP,1,16,2022-11-2
TOYOTA,ETIOS_HB,0,7,2022-11-2
CAOA_CHERY,QQ,0,5,2022-11-2
GM,CHEVETTE,0,4,2022-11-2
HYUNDAI,HB20,9457,89286,2022-11-2
GM,ONIX,7393,75741,2022-11-2
FIAT,ARGO,7737,57281,2022-11-2
PEUGEOT,208,3978,28132,2022-11-2
TOYOTA,YARIS_HB,2365,23394,2022-11-2
HONDA,CITY_HATCH,1381,14608,2022-11-2
RENAULT,SANDERO,1341,9308,2022-11-2
CITROEN,C3,3191,7564,2022-11-2
VW,POLO,2152,5306,2022-11-2
CAOA_CHERY,ICAR,13,782,2022-11-2
MINI,COOPER,83,668,2022-11-2
JAC,E-JS1,37,590,2022-11-2
GM,CRUZE_HB,78,1331,2022-11-2
NISSAN,LEAF,63,341,2022-11-2
AUDI,A3,0,154,2022-11-2
BMW,I3,10,120,2022-11-2
BMW,118i,12,81,2022-11-2
MBENZ,CLASSE_A,2,53,2022-11-2
FIAT,CRONOS,6575,37082,2022-11-2
VW,VOYAGE,4677,31926,2022-11-2
HYUNDAI,HB20S,1412,22577,2022-11-2
RENAULT,LOGAN,1206,9404,2022-11-2
FIAT,SIENA,6,4137,2022-11-2
GM,PRISMA,0,9,2022-11-2
FORD,KA_SEDAN,1,7,2022-11-2
TOYOTA,ETIOS_SEDAN,0,6,2022-11-2
NISSAN,VERSA,0,5,2022-11-2
GM,CLASSIC,0,3,2022-11-2
GM,ONIX_PLUS,8035,67213,2022-11-2
HONDA,CITY,1147,20808,2022-11-2
TOYOTA,YARIS_SEDAN,1615,13779,2022-11-2
NISSAN,VERSA,131,5175,2022-11-2
VW,VIRTUS,600,4830,2022-11-2
GM,COBALT,2,26,2022-11-2
TOYOTA,COROLLA,3656,38557,2022-11-2
GM,CRUZE_SEDAN,371,8336,2022-11-2
HONDA,CIVIC,1,1991,2022-11-2
CAOA_CHERY,ARRIZO_6,71,1348,2022-11-2
VW,JETTA,65,517,2022-11-2
AUDI,A3_SEDAN,6,396,2022-11-2
KIA,CERATO,12,329,2022-11-2
AUDI,A5,25,268,2022-11-2
HYUNDAI,IONIQ,0,240,2022-11-2
BMW,420I,14,106,2022-11-2
MBENZ,CLA35,3,74,2022-11-2
MBENZ,CLA45,6,58,2022-11-2
MBENZ,CLASSE_A,2,55,2022-11-2
BMW,218I,10,48,2022-11-2
JAC,E-J7,7,44,2022-11-2
BMW,M440I,0,9,2022-11-2
BMW,M235I,0,7,2022-11-2
CITROEN,C4L,0,7,2022-11-2
MBENZ,CLASSE_C,0,3,2022-11-2
BMW,430I,0,2,2022-11-2
FORD,FUSION,0,2,2022-11-2
BMW,320I,666,4164,2022-11-2
MBENZ,CLASSE_C,96,985,2022-11-2
BMW,330E,25,542,2022-11-2
MBENZ,CLA250,40,408,2022-11-2
PORSCHE,PANAMERA,14,203,2022-11-2
AUDI,A4,29,184,2022-11-2
BMW,530E,12,109,2022-11-2
MBENZ,CLASSE_E,1,54,2022-11-2
AUDI,E_TRON_GT,0,45,2022-11-2
