marca,modelo,emplacados,acumulado_anual,data,year,month
GM,SPIN,1266,8167,2022-07-02,2022,7
KIA,CARNIVAL,25,231,2022-07-02,2022,7
CHRYSLER,PACIFICA,1,8,2022-07-02,2022,7
PORSCHE,911,48,299,2022-07-02,2022,7
PORSCHE,TAYCAN,41,188,2022-07-02,2022,7
FORD,MUSTANG,26,158,2022-07-02,2022,7
BMW,M3,22,92,2022-07-02,2022,7
PORSCHE,BOXSTER,4,80,2022-07-02,2022,7
TOYOTA,SIENNA,0,5,2022-07-02,2022,7
FIAT,PULSE,5300,29335,2022-07-02,2022,7
PORSCHE,CAYMAN,1,39,2022-07-02,2022,7
GM,CAMARO,7,36,2022-07-02,2022,7
JAGUAR,F-TYPE,2,24,2022-07-02,2022,7
VW,T_CROSS,3535,36404,2022-07-02,2022,7
JEEP,COMPASS,4402,35429,2022-07-02,2022,7
HYUNDAI,CRETA,5125,34378,2022-07-02,2022,7
GM,TRACKER,5998,32964,2022-07-02,2022,7
VW,NIVUS,2995,19669,2022-07-02,2022,7
JEEP,RENEGADE,4264,29141,2022-07-02,2022,7
TOYOTA,COROLLA_CROSS,3614,25880,2022-07-02,2022,7
GM,CORVETTE,7,51,2022-07-02,2022,7
NISSAN,KICKS,5221,22308,2022-07-02,2022,7
GM,CRUZE_SEDAN,889,6773,2022-08-02,2022,8
HONDA,CIVIC,6,1987,2022-08-02,2022,8
GM,ONIX_PLUS,8968,44043,2022-08-02,2022,8
VW,JETTA,40,410,2022-08-02,2022,8
AUDI,A3_SEDAN,26,351,2022-08-02,2022,8
CAOA_CHERY,ARRIZO_6,56,1201,2022-08-02,2022,8
TOYOTA,COROLLA,3386,28255,2022-08-02,2022,8
GM,CLASSIC,1,3,2022-08-02,2022,8
VW,VIRTUS,367,3535,2022-08-02,2022,8
NISSAN,VERSA,266,4771,2022-08-02,2022,8
TOYOTA,YARIS_SEDAN,1174,9348,2022-08-02,2022,8
HONDA,CITY,2084,16783,2022-08-02,2022,8
KIA,CERATO,22,291,2022-08-02,2022,8
GM,COBALT,0,22,2022-08-02,2022,8
AUDI,A5,38,192,2022-08-02,2022,8
FORD,FUSION,0,1,2022-08-02,2022,8
BMW,420I,8,58,2022-08-02,2022,8
BMW,330E,111,356,2022-08-02,2022,8
TOYOTA,ETIOS_SEDAN,1,5,2022-08-02,2022,8
MBENZ,CLASSE_C,7,641,2022-08-02,2022,8
BMW,320I,217,2767,2022-08-02,2022,8
FORD,DEL_REY,0,1,2022-08-02,2022,8
MBENZ,CLASSE_C,0,2,2022-08-02,2022,8
MBENZ,CLA35,4,59,2022-08-02,2022,8
BMW,430I,1,2,2022-08-02,2022,8
BMW,M235I,0,7,2022-08-02,2022,8
BMW,M440I,0,9,2022-08-02,2022,8
BMW,218I,2,15,2022-08-02,2022,8
JAC,E-J7,3,20,2022-08-02,2022,8
MBENZ,CLA45,2,41,2022-08-02,2022,8
MBENZ,CLASSE_A,10,47,2022-08-02,2022,8
CITROEN,C4L,0,7,2022-08-02,2022,8
NISSAN,VERSA,0,5,2022-08-02,2022,8
VW,UP,0,10,2022-08-02,2022,8
GM,PRISMA,0,8,2022-08-02,2022,8
TOYOTA,YARIS_HB,2235,16434,2022-08-02,2022,8
PEUGEOT,208,2825,20709,2022-08-02,2022,8
FIAT,ARGO,7594,35824,2022-08-02,2022,8
GM,ONIX,9821,52507,2022-08-02,2022,8
HYUNDAI,HB20,10919,61909,2022-08-02,2022,8
FIAT,PALIO,0,3,2022-08-02,2022,8
HONDA,CITY_HATCH,1504,10453,2022-08-02,2022,8
CAOA_CHERY,QQ,0,5,2022-08-02,2022,8
VW,FUSCA,4,39,2022-08-02,2022,8
FIAT,UNO,6,756,2022-08-02,2022,8
RENAULT,KWID,6829,34365,2022-08-02,2022,8
FIAT,MOBI,7613,42559,2022-08-02,2022,8
VW,GOL,11719,47250,2022-08-02,2022,8
MBENZ,CLA250,50,329,2022-08-02,2022,8
TOYOTA,ETIOS_HB,2,7,2022-08-02,2022,8
FORD,KA_SEDAN,1,5,2022-08-02,2022,8
RENAULT,SANDERO,1002,6603,2022-08-02,2022,8
JAC,E-JS1,73,478,2022-08-02,2022,8
FIAT,SIENA,34,4112,2022-08-02,2022,8
RENAULT,LOGAN,687,6675,2022-08-02,2022,8
HYUNDAI,HB20S,997,17411,2022-08-02,2022,8
VW,VOYAGE,5564,18544,2022-08-02,2022,8
FIAT,CRONOS,3757,23726,2022-08-02,2022,8
BMW,118i,21,35,2022-08-02,2022,8
VW,POLO,130,2325,2022-08-02,2022,8
MBENZ,CLASSE_A,8,37,2022-08-02,2022,8
AUDI,A3,4,150,2022-08-02,2022,8
NISSAN,LEAF,39,256,2022-08-02,2022,8
GM,CRUZE_HB,129,1048,2022-08-02,2022,8
FIAT,500E,6,186,2022-08-02,2022,8
RENAULT,ZOE,0,197,2022-08-02,2022,8
MINI,COOPER,49,460,2022-08-02,2022,8
BMW,I3,11,73,2022-08-02,2022,8
PORSCHE,PANAMERA,24,155,2022-08-02,2022,8
GM,CAMARO,3,39,2022-08-02,2022,8
BMW,530E,18,73,2022-08-02,2022,8
RENAULT,CAPTUR,130,2756,2022-08-02,2022,8
BMW,X1,487,2871,2022-08-02,2022,8
CAOA_CHERY,TIGGO_3X,53,3533,2022-08-02,2022,8
HONDA,HR-V,486,3743,2022-08-02,2022,8
PEUGEOT,2008,118,4274,2022-08-02,2022,8
CAOA_CHERY,TIGGO_7,983,6019,2022-08-02,2022,8
MITSUBISHI,ECLIPSE_CROSS,400,2277,2022-08-02,2022,8
CAOA_CHERY,TIGGO_8,1188,6376,2022-08-02,2022,8
VW,TAOS,1667,6685,2022-08-02,2022,8
TOYOTA,HILUX_SW4,1221,9192,2022-08-02,2022,8
CITROEN,C4_CACTUS,1983,13399,2022-08-02,2022,8
JEEP,COMMANDER,2338,13478,2022-08-02,2022,8
RENAULT,DUSTER,2087,13663,2022-08-02,2022,8
VW,NIVUS,3380,23049,2022-08-02,2022,8
CAOA_CHERY,TIGGO_5X,763,6655,2022-08-02,2022,8
NISSAN,KICKS,4250,26558,2022-08-02,2022,8
HYUNDAI,TUCSON,38,2143,2022-08-02,2022,8
MITSUBISHI,PAJERO,43,1342,2022-08-02,2022,8
MBENZ,CLASSE_GLB,8,689,2022-08-02,2022,8
BMW,X4,95,689,2022-08-02,2022,8
TOYOTA,RAV4,146,694,2022-08-02,2022,8
FORD,TERRITORY,68,708,2022-08-02,2022,8
HONDA,WR-V,0,711,2022-08-02,2022,8
AUDI,A4,14,93,2022-08-02,2022,8
GM,TRAILBLAZER,245,1511,2022-08-02,2022,8
BMW,X5,170,834,2022-08-02,2022,8
AUDI,Q5,145,954,2022-08-02,2022,8
BMW,X3,130,979,2022-08-02,2022,8
LAND_ROVER,DISCOVERY,162,1020,2022-08-02,2022,8
MITSUBISHI,Outlander,20,1055,2022-08-02,2022,8
FORD,BRONCO,129,1078,2022-08-02,2022,8
VOLVO,XC60,66,1168,2022-08-02,2022,8
VOLVO,XC40,99,941,2022-08-02,2022,8
TOYOTA,COROLLA_CROSS,3250,29128,2022-08-02,2022,8
PORSCHE,MACAN,118,735,2022-08-02,2022,8
FIAT,PULSE,4771,34105,2022-08-02,2022,8
HONDA,FIT,0,230,2022-08-02,2022,8
FIAT,DOBLO,1,313,2022-08-02,2022,8
GM,CARAVAN,0,1,2022-08-02,2022,8
AUDI,RS4_AVANT,0,4,2022-08-02,2022,8
AUDI,RS6_AVANT,2,18,2022-08-02,2022,8
VW,PARATI,1,1,2022-08-02,2022,8
FIAT,IDEA,0,1,2022-08-02,2022,8
VW,SPACE_FOX,0,2,2022-08-02,2022,8
FIAT,PALIO_WEEKEND,1,3,2022-08-02,2022,8
AUDI,A6,3,20,2022-08-02,2022,8
BMW,M340I,0,28,2022-08-02,2022,8
AUDI,E_TRON_GT,6,33,2022-08-02,2022,8
MBENZ,CLASSE_E,9,43,2022-08-02,2022,8
JEEP,RENEGADE,4654,33795,2022-08-02,2022,8
FORD,BELINA,0,2,2022-08-02,2022,8
GM,BOLT,0,1,2022-08-02,2022,8
TESLA,MODEL_S,1,21,2022-08-02,2022,8
KIA,CARNIVAL,31,262,2022-08-02,2022,8
GM,SPIN,1515,9682,2022-08-02,2022,8
HYUNDAI,CRETA,5806,40182,2022-08-02,2022,8
VW,T_CROSS,6194,42598,2022-08-02,2022,8
JAGUAR,F-TYPE,8,32,2022-08-02,2022,8
PORSCHE,CAYMAN,1,40,2022-08-02,2022,8
GM,CORVETTE,8,59,2022-08-02,2022,8
JEEP,COMPASS,5284,40713,2022-08-02,2022,8
BMW,M3,16,108,2022-08-02,2022,8
CHRYSLER,PACIFICA,2,10,2022-08-02,2022,8
PORSCHE,BOXSTER,1,81,2022-08-02,2022,8
BYD,D1,7,9,2022-08-02,2022,8
PORSCHE,911,32,331,2022-08-02,2022,8
GM,TRACKER,6708,39672,2022-08-02,2022,8
FORD,MUSTANG,60,218,2022-08-02,2022,8
PORSCHE,TAYCAN,22,210,2022-08-02,2022,8
GM,CORVETTE,9,68,2022-09-02,2022,9
TOYOTA,COROLLA_CROSS,2861,31988,2022-09-02,2022,9
JEEP,RENEGADE,3755,37550,2022-09-02,2022,9
VW,NIVUS,3029,26076,2022-09-02,2022,9
JEEP,COMPASS,5047,45760,2022-09-02,2022,9
HYUNDAI,CRETA,5586,45764,2022-09-02,2022,9
GM,TRACKER,7127,46799,2022-09-02,2022,9
VW,T_CROSS,5803,48401,2022-09-02,2022,9
PORSCHE,CAYMAN,0,40,2022-09-02,2022,9
GM,CAMARO,5,44,2022-09-02,2022,9
JAGUAR,F-TYPE,13,45,2022-09-02,2022,9
NISSAN,KICKS,3549,30107,2022-09-02,2022,9
FIAT,PULSE,4398,38503,2022-09-02,2022,9
BYD,D1,4,13,2022-09-02,2022,9
BMW,M3,15,123,2022-09-02,2022,9
PORSCHE,TAYCAN,13,223,2022-09-02,2022,9
FORD,MUSTANG,55,273,2022-09-02,2022,9
PORSCHE,911,108,440,2022-09-02,2022,9
CHRYSLER,PACIFICA,0,10,2022-09-02,2022,9
KIA,CARNIVAL,25,287,2022-09-02,2022,9
GM,SPIN,2062,11744,2022-09-02,2022,9
FIAT,IDEA,0,1,2022-09-02,2022,9
GM,BOLT,3,4,2022-09-02,2022,9
HONDA,FIT,0,230,2022-09-02,2022,9
RENAULT,DUSTER,2506,16264,2022-09-02,2022,9
FIAT,DOBLO,1,314,2022-09-02,2022,9
PORSCHE,BOXSTER,0,81,2022-09-02,2022,9
JEEP,COMMANDER,2064,15541,2022-09-02,2022,9
AUDI,Q5,241,1195,2022-09-02,2022,9
TOYOTA,HILUX_SW4,758,9949,2022-09-02,2022,9
GM,CARAVAN,0,1,2022-09-02,2022,9
BMW,X4,79,768,2022-09-02,2022,9
FORD,TERRITORY,85,793,2022-09-02,2022,9
TOYOTA,RAV4,124,818,2022-09-02,2022,9
PORSCHE,MACAN,96,831,2022-09-02,2022,9
GM,EQUINOX,217,835,2022-09-02,2022,9
AUDI,Q3,279,917,2022-09-02,2022,9
BMW,X5,97,931,2022-09-02,2022,9
BMW,X3,46,1025,2022-09-02,2022,9
MITSUBISHI,Outlander,15,1070,2022-09-02,2022,9
VOLVO,XC40,145,1085,2022-09-02,2022,9
FORD,BRONCO,91,1169,2022-09-02,2022,9
LAND_ROVER,DISCOVERY,153,1173,2022-09-02,2022,9
VOLVO,XC60,216,1384,2022-09-02,2022,9
MITSUBISHI,PAJERO,42,1384,2022-09-02,2022,9
HYUNDAI,TUCSON,33,2176,2022-09-02,2022,9
GM,TRAILBLAZER,717,2228,2022-09-02,2022,9
MITSUBISHI,ECLIPSE_CROSS,426,2702,2022-09-02,2022,9
RENAULT,CAPTUR,69,2825,2022-09-02,2022,9
BMW,X1,346,3217,2022-09-02,2022,9
CAOA_CHERY,TIGGO_3X,29,3562,2022-09-02,2022,9
PEUGEOT,2008,227,4501,2022-09-02,2022,9
HONDA,HR-V,2956,6699,2022-09-02,2022,9
CAOA_CHERY,TIGGO_7,823,6842,2022-09-02,2022,9
CAOA_CHERY,TIGGO_5X,677,7332,2022-09-02,2022,9
CAOA_CHERY,TIGGO_8,1593,7970,2022-09-02,2022,9
VW,TAOS,1421,8106,2022-09-02,2022,9
CITROEN,C4_CACTUS,2118,15517,2022-09-02,2022,9
AUDI,RS6_AVANT,1,19,2022-09-02,2022,9
AUDI,RS4_AVANT,0,4,2022-09-02,2022,9
TOYOTA,ETIOS_HB,0,7,2022-09-02,2022,9
NISSAN,LEAF,13,269,2022-09-02,2022,9
AUDI,A3,3,153,2022-09-02,2022,9
BMW,118i,16,51,2022-09-02,2022,9
MBENZ,CLASSE_A,8,45,2022-09-02,2022,9
FIAT,CRONOS,3066,26791,2022-09-02,2022,9
VW,VOYAGE,4476,23020,2022-09-02,2022,9
HYUNDAI,HB20S,1599,19010,2022-09-02,2022,9
GM,CRUZE_HB,98,1146,2022-09-02,2022,9
RENAULT,LOGAN,834,7509,2022-09-02,2022,9
GM,PRISMA,1,9,2022-09-02,2022,9
FORD,KA_SEDAN,1,6,2022-09-02,2022,9
NISSAN,VERSA,0,5,2022-09-02,2022,9
TOYOTA,ETIOS_SEDAN,0,5,2022-09-02,2022,9
GM,CLASSIC,0,3,2022-09-02,2022,9
GM,ONIX_PLUS,7781,51824,2022-09-02,2022,9
HONDA,CITY,1742,18525,2022-09-02,2022,9
FIAT,SIENA,12,4124,2022-09-02,2022,9
JAC,E-JS1,49,526,2022-09-02,2022,9
MINI,COOPER,68,528,2022-09-02,2022,9
CAOA_CHERY,ICAR,596,728,2022-09-02,2022,9
VW,GOL,5773,53023,2022-09-02,2022,9
FIAT,MOBI,7476,50035,2022-09-02,2022,9
RENAULT,KWID,5719,40084,2022-09-02,2022,9
FIAT,UNO,7,763,2022-09-02,2022,9
VW,FUSCA,7,46,2022-09-02,2022,9
VW,UP,5,15,2022-09-02,2022,9
CAOA_CHERY,QQ,0,5,2022-09-02,2022,9
GM,CHEVETTE,1,4,2022-09-02,2022,9
HYUNDAI,HB20,8836,70745,2022-09-02,2022,9
GM,ONIX,8078,60582,2022-09-02,2022,9
FIAT,ARGO,7093,42916,2022-09-02,2022,9
PEUGEOT,208,2214,22922,2022-09-02,2022,9
TOYOTA,YARIS_HB,2341,18775,2022-09-02,2022,9
HONDA,CITY_HATCH,1452,11905,2022-09-02,2022,9
RENAULT,SANDERO,777,7380,2022-09-02,2022,9
VW,POLO,89,2414,2022-09-02,2022,9
CITROEN,C3,1604,1753,2022-09-02,2022,9
TOYOTA,YARIS_SEDAN,1360,10708,2022-09-02,2022,9
NISSAN,VERSA,196,4967,2022-09-02,2022,9
BMW,I3,26,99,2022-09-02,2022,9
GM,COBALT,2,24,2022-09-02,2022,9
FORD,FUSION,1,2,2022-09-02,2022,9
BMW,320I,278,3045,2022-09-02,2022,9
MBENZ,CLASSE_C,51,691,2022-09-02,2022,9
BMW,330E,99,455,2022-09-02,2022,9
MBENZ,CLA250,21,350,2022-09-02,2022,9
PORSCHE,PANAMERA,21,176,2022-09-02,2022,9
AUDI,A4,36,129,2022-09-02,2022,9
BMW,530E,17,90,2022-09-02,2022,9
MBENZ,CLASSE_E,3,46,2022-09-02,2022,9
AUDI,E_TRON_GT,10,43,2022-09-02,2022,9
BMW,M340I,0,28,2022-09-02,2022,9
TESLA,MODEL_S,3,24,2022-09-02,2022,9
AUDI,A6,0,20,2022-09-02,2022,9
VW,VIRTUS,313,3848,2022-09-02,2022,9
FORD,BELINA,0,2,2022-09-02,2022,9
VW,SPACE_FOX,0,2,2022-09-02,2022,9
VW,PARATI,0,1,2022-09-02,2022,9
BMW,430I,0,2,2022-09-02,2022,9
MBENZ,CLASSE_C,1,3,2022-09-02,2022,9
FIAT,PALIO_WEEKEND,0,3,2022-09-02,2022,9
BMW,M235I,0,7,2022-09-02,2022,9
CITROEN,C4L,0,7,2022-09-02,2022,9
TOYOTA,COROLLA,3360,31615,2022-09-02,2022,9
GM,CRUZE_SEDAN,780,7552,2022-09-02,2022,9
CAOA_CHERY,ARRIZO_6,45,1246,2022-09-02,2022,9
VW,JETTA,5,415,2022-09-02,2022,9
AUDI,A3_SEDAN,29,380,2022-09-02,2022,9
KIA,CERATO,12,303,2022-09-02,2022,9
HYUNDAI,IONIQ,238,238,2022-09-02,2022,9
HONDA,CIVIC,1,1988,2022-09-02,2022,9
BMW,420I,22,80,2022-09-02,2022,9
MBENZ,CLA35,2,61,2022-09-02,2022,9
MBENZ,CLASSE_A,4,51,2022-09-02,2022,9
MBENZ,CLA45,9,50,2022-09-02,2022,9
BMW,218I,13,28,2022-09-02,2022,9
JAC,E-J7,8,28,2022-09-02,2022,9
AUDI,A5,26,218,2022-09-02,2022,9
BMW,M440I,0,9,2022-09-02,2022,9
AUDI,A5,25,243,2022-10-02,2022,10
KIA,CERATO,14,317,2022-10-02,2022,10
AUDI,A3_SEDAN,10,390,2022-10-02,2022,10
VW,JETTA,37,452,2022-10-02,2022,10
CAOA_CHERY,ARRIZO_6,31,1277,2022-10-02,2022,10
HONDA,CIVIC,2,1990,2022-10-02,2022,10
VW,VIRTUS,382,4230,2022-10-02,2022,10
TOYOTA,COROLLA,3286,34901,2022-10-02,2022,10
GM,COBALT,0,24,2022-10-02,2022,10
NISSAN,VERSA,77,5044,2022-10-02,2022,10
TOYOTA,YARIS_SEDAN,1456,12164,2022-10-02,2022,10
GM,ONIX_PLUS,7354,59178,2022-10-02,2022,10
HYUNDAI,IONIQ,2,240,2022-10-02,2022,10
HONDA,CITY,1137,19662,2022-10-02,2022,10
GM,CRUZE_SEDAN,413,7965,2022-10-02,2022,10
BMW,420I,12,92,2022-10-02,2022,10
MBENZ,CLASSE_C,0,3,2022-10-02,2022,10
MBENZ,CLASSE_A,2,53,2022-10-02,2022,10
GM,CLASSIC,0,3,2022-10-02,2022,10
PORSCHE,PANAMERA,13,189,2022-10-02,2022,10
MBENZ,CLA250,18,368,2022-10-02,2022,10
BMW,330E,62,517,2022-10-02,2022,10
MBENZ,CLASSE_C,198,889,2022-10-02,2022,10
BMW,320I,454,3499,2022-10-02,2022,10
MBENZ,CLA35,10,71,2022-10-02,2022,10
FORD,FUSION,0,2,2022-10-02,2022,10
CITROEN,C4L,0,7,2022-10-02,2022,10
BMW,M235I,0,7,2022-10-02,2022,10
BMW,M440I,0,9,2022-10-02,2022,10
JAC,E-J7,9,37,2022-10-02,2022,10
BMW,218I,10,38,2022-10-02,2022,10
MBENZ,CLA45,2,52,2022-10-02,2022,10
BMW,430I,0,2,2022-10-02,2022,10
NISSAN,VERSA,0,5,2022-10-02,2022,10
GM,BOLT,4,8,2022-10-02,2022,10
FORD,KA_SEDAN,0,6,2022-10-02,2022,10
HONDA,CITY_HATCH,1322,13227,2022-10-02,2022,10
TOYOTA,YARIS_HB,2254,21029,2022-10-02,2022,10
PEUGEOT,208,1232,24154,2022-10-02,2022,10
FIAT,ARGO,6628,49544,2022-10-02,2022,10
FIAT,MOBI,6741,56774,2022-10-02,2022,10
VW,GOL,3099,56121,2022-10-02,2022,10
RENAULT,SANDERO,588,7968,2022-10-02,2022,10
RENAULT,KWID,6041,46124,2022-10-02,2022,10
VW,FUSCA,6,52,2022-10-02,2022,10
VW,UP,0,15,2022-10-02,2022,10
TOYOTA,ETIOS_HB,0,7,2022-10-02,2022,10
CAOA_CHERY,QQ,0,5,2022-10-02,2022,10
GM,CHEVETTE,0,4,2022-10-02,2022,10
AUDI,A4,26,155,2022-10-02,2022,10
FIAT,UNO,10,773,2022-10-02,2022,10
TOYOTA,ETIOS_SEDAN,1,6,2022-10-02,2022,10
CITROEN,C3,2620,4373,2022-10-02,2022,10
CAOA_CHERY,ICAR,41,769,2022-10-02,2022,10
GM,PRISMA,0,9,2022-10-02,2022,10
FIAT,SIENA,7,4131,2022-10-02,2022,10
RENAULT,LOGAN,689,8198,2022-10-02,2022,10
HYUNDAI,HB20S,2155,21165,2022-10-02,2022,10
VW,VOYAGE,4229,27249,2022-10-02,2022,10
FIAT,CRONOS,3716,30507,2022-10-02,2022,10
VW,POLO,740,3154,2022-10-02,2022,10
MBENZ,CLASSE_A,6,51,2022-10-02,2022,10
BMW,I3,11,110,2022-10-02,2022,10
AUDI,A3,1,154,2022-10-02,2022,10
NISSAN,LEAF,9,278,2022-10-02,2022,10
GM,CRUZE_HB,107,1253,2022-10-02,2022,10
JAC,E-JS1,27,553,2022-10-02,2022,10
MINI,COOPER,57,585,2022-10-02,2022,10
BMW,118i,18,69,2022-10-02,2022,10
BMW,530E,7,97,2022-10-02,2022,10
NISSAN,KICKS,2604,32711,2022-10-02,2022,10
AUDI,E_TRON_GT,2,45,2022-10-02,2022,10
BMW,X1,161,3378,2022-10-02,2022,10
CAOA_CHERY,TIGGO_3X,17,3579,2022-10-02,2022,10
PEUGEOT,2008,225,4726,2022-10-02,2022,10
CAOA_CHERY,TIGGO_7,482,7324,2022-10-02,2022,10
CAOA_CHERY,TIGGO_5X,456,7788,2022-10-02,2022,10
CAOA_CHERY,TIGGO_8,978,8948,2022-10-02,2022,10
VW,TAOS,989,9093,2022-10-02,2022,10
HONDA,HR-V,2603,9302,2022-10-02,2022,10
TOYOTA,HILUX_SW4,869,10818,2022-10-02,2022,10
CITROEN,C4_CACTUS,1171,16688,2022-10-02,2022,10
JEEP,COMMANDER,2112,17653,2022-10-02,2022,10
RENAULT,DUSTER,1913,18177,2022-10-02,2022,10
VW,NIVUS,3772,29848,2022-10-02,2022,10
HYUNDAI,HB20,9084,79829,2022-10-02,2022,10
TOYOTA,COROLLA_CROSS,3225,35211,2022-10-02,2022,10
FIAT,FASTBACK,2843,3290,2022-10-02,2022,10
JEEP,RENEGADE,3957,41507,2022-10-02,2022,10
MITSUBISHI,ECLIPSE_CROSS,264,2966,2022-10-02,2022,10
GM,TRAILBLAZER,349,2577,2022-10-02,2022,10
TOYOTA,RAV4,46,864,2022-10-02,2022,10
FORD,TERRITORY,79,872,2022-10-02,2022,10
PORSCHE,MACAN,93,924,2022-10-02,2022,10
BMW,X5,19,950,2022-10-02,2022,10
BMW,X3,13,1038,2022-10-02,2022,10
MITSUBISHI,Outlander,8,1078,2022-10-02,2022,10
GM,EQUINOX,289,1124,2022-10-02,2022,10
AUDI,Q3,224,1141,2022-10-02,2022,10
AUDI,Q5,64,1259,2022-10-02,2022,10
LAND_ROVER,DISCOVERY,108,1281,2022-10-02,2022,10
FORD,BRONCO,175,1344,2022-10-02,2022,10
VOLVO,XC40,264,1349,2022-10-02,2022,10
MITSUBISHI,PAJERO,37,1421,2022-10-02,2022,10
VOLVO,XC60,77,1461,2022-10-02,2022,10
HYUNDAI,TUCSON,22,2198,2022-10-02,2022,10
RENAULT,CAPTUR,58,2883,2022-10-02,2022,10
MBENZ,CLASSE_E,7,53,2022-10-02,2022,10
FIAT,PULSE,4311,42814,2022-10-02,2022,10
JEEP,COMPASS,5307,51066,2022-10-02,2022,10
KIA,CARNIVAL,24,311,2022-10-02,2022,10
GM,SPIN,1736,13480,2022-10-02,2022,10
FIAT,IDEA,0,1,2022-10-02,2022,10
HONDA,FIT,1,231,2022-10-02,2022,10
FIAT,DOBLO,0,314,2022-10-02,2022,10
GM,CARAVAN,0,1,2022-10-02,2022,10
AUDI,RS4_AVANT,0,4,2022-10-02,2022,10
AUDI,RS6_AVANT,6,25,2022-10-02,2022,10
VW,PARATI,0,1,2022-10-02,2022,10
VW,SPACE_FOX,0,2,2022-10-02,2022,10
FORD,BELINA,0,2,2022-10-02,2022,10
FIAT,PALIO_WEEKEND,0,3,2022-10-02,2022,10
LEXUS,ES300,3,21,2022-10-02,2022,10
TESLA,MODEL_S,1,25,2022-10-02,2022,10
BMW,M340I,0,28,2022-10-02,2022,10
BYD,D1,0,13,2022-10-02,2022,10
HYUNDAI,CRETA,5048,50811,2022-10-02,2022,10
CHRYSLER,PACIFICA,2,12,2022-10-02,2022,10
FORD,MUSTANG,30,303,2022-10-02,2022,10
VW,T_CROSS,5590,53990,2022-10-02,2022,10
GM,TRACKER,8496,55294,2022-10-02,2022,10
PORSCHE,CAYMAN,0,40,2022-10-02,2022,10
GM,CAMARO,5,49,2022-10-02,2022,10
JAGUAR,F-TYPE,10,55,2022-10-02,2022,10
GM,CORVETTE,5,73,2022-10-02,2022,10
PORSCHE,911,76,516,2022-10-02,2022,10
PORSCHE,BOXSTER,1,82,2022-10-02,2022,10
BMW,M3,17,140,2022-10-02,2022,10
PORSCHE,TAYCAN,3,226,2022-10-02,2022,10
GM,ONIX,7768,68349,2022-10-02,2022,10
FORD,MUSTANG,18,320,2022-11-02,2022,11
BMW,M3,8,148,2022-11-02,2022,11
PORSCHE,911,48,564,2022-11-02,2022,11
CHRYSLER,PACIFICA,0,12,2022-11-02,2022,11
KIA,CARNIVAL,19,330,2022-11-02,2022,11
BYD,D1,0,13,2022-11-02,2022,11
PORSCHE,TAYCAN,7,233,2022-11-02,2022,11
LAND_ROVER,DISCOVERY,54,1335,2022-11-02,2022,11
BMW,X5,10,960,2022-11-02,2022,11
VW,TAOS,1149,10242,2022-11-02,2022,11
HONDA,HR-V,2904,12206,2022-11-02,2022,11
TOYOTA,HILUX_SW4,1522,12339,2022-11-02,2022,11
CITROEN,C4_CACTUS,1004,17692,2022-11-02,2022,11
JEEP,COMMANDER,2422,20074,2022-11-02,2022,11
RENAULT,DUSTER,2245,20422,2022-11-02,2022,11
VW,NIVUS,4859,34707,2022-11-02,2022,11
NISSAN,KICKS,2607,35316,2022-11-02,2022,11
CAOA_CHERY,TIGGO_8,776,9724,2022-11-02,2022,11
TOYOTA,COROLLA_CROSS,3402,38612,2022-11-02,2022,11
FIAT,PULSE,3685,46499,2022-11-02,2022,11
HYUNDAI,CRETA,5269,56080,2022-11-02,2022,11
JEEP,COMPASS,6409,57474,2022-11-02,2022,11
VW,T_CROSS,5174,59161,2022-11-02,2022,11
GM,TRACKER,7231,62524,2022-11-02,2022,11
PORSCHE,CAYMAN,1,41,2022-11-02,2022,11
GM,CAMARO,1,50,2022-11-02,2022,11
GM,SPIN,1903,15383,2022-11-02,2022,11
JEEP,RENEGADE,4474,45981,2022-11-02,2022,11
CAOA_CHERY,TIGGO_5X,1177,8965,2022-11-02,2022,11
CAOA_CHERY,TIGGO_7,672,7996,2022-11-02,2022,11
FIAT,FASTBACK,3190,6480,2022-11-02,2022,11
TOYOTA,RAV4,109,973,2022-11-02,2022,11
PORSCHE,MACAN,73,997,2022-11-02,2022,11
BMW,X3,40,1078,2022-11-02,2022,11
MITSUBISHI,Outlander,1,1079,2022-11-02,2022,11
PORSCHE,BOXSTER,0,82,2022-11-02,2022,11
AUDI,Q3,213,1354,2022-11-02,2022,11
AUDI,Q5,97,1356,2022-11-02,2022,11
GM,EQUINOX,288,1412,2022-11-02,2022,11
FORD,BRONCO,145,1489,2022-11-02,2022,11
VOLVO,XC60,109,1570,2022-11-02,2022,11
VOLVO,XC40,257,1606,2022-11-02,2022,11
MITSUBISHI,PAJERO,186,1607,2022-11-02,2022,11
HYUNDAI,TUCSON,20,2218,2022-11-02,2022,11
GM,TRAILBLAZER,337,2914,2022-11-02,2022,11
RENAULT,CAPTUR,49,2932,2022-11-02,2022,11
MITSUBISHI,ECLIPSE_CROSS,476,3441,2022-11-02,2022,11
BMW,X1,74,3451,2022-11-02,2022,11
CAOA_CHERY,TIGGO_3X,37,3616,2022-11-02,2022,11
PEUGEOT,2008,210,4936,2022-11-02,2022,11
FORD,TERRITORY,54,926,2022-11-02,2022,11
FIAT,IDEA,0,1,2022-11-02,2022,11
GM,CORVETTE,5,78,2022-11-02,2022,11
HONDA,FIT,0,231,2022-11-02,2022,11
GM,CRUZE_HB,78,1331,2022-11-02,2022,11
