marca,modelo,emplacados,acumulado_anual,data
VW,GOL,11719,47250,2022-08-2
FIAT,MOBI,7613,42559,2022-08-2
RENAULT,KWID,6829,34365,2022-08-2
FIAT,UNO,6,756,2022-08-2
VW,FUSCA,4,39,2022-08-2
VW,UP,0,10,2022-08-2
TOYOTA,ETIOS_HB,2,7,2022-08-2
CAOA_CHERY,QQ,0,5,2022-08-2
FIAT,PALIO,0,3,2022-08-2
HYUNDAI,HB20,10919,61909,2022-08-2
GM,ONIX,9821,52507,2022-08-2
FIAT,ARGO,7594,35824,2022-08-2
PEUGEOT,208,2825,20709,2022-08-2
TOYOTA,YARIS_HB,2235,16434,2022-08-2
HONDA,CITY_HATCH,1504,10453,2022-08-2
RENAULT,SANDERO,1002,6603,2022-08-2
VW,POLO,130,2325,2022-08-2
JAC,E-JS1,73,478,2022-08-2
MINI,COOPER,49,460,2022-08-2
RENAULT,ZOE,0,197,2022-08-2
FIAT,500E,6,186,2022-08-2
GM,CRUZE_HB,129,1048,2022-08-2
NISSAN,LEAF,39,256,2022-08-2
AUDI,A3,4,150,2022-08-2
BMW,I3,11,73,2022-08-2
MBENZ,CLASSE_A,8,37,2022-08-2
BMW,118i,21,35,2022-08-2
FIAT,CRONOS,3757,23726,2022-08-2
VW,VOYAGE,5564,18544,2022-08-2
HYUNDAI,HB20S,997,17411,2022-08-2
RENAULT,LOGAN,687,6675,2022-08-2
FIAT,SIENA,34,4112,2022-08-2
GM,PRISMA,0,8,2022-08-2
FORD,KA_SEDAN,1,5,2022-08-2
NISSAN,VERSA,0,5,2022-08-2
TOYOTA,ETIOS_SEDAN,1,5,2022-08-2
GM,CLASSIC,1,3,2022-08-2
GM,ONIX_PLUS,8968,44043,2022-08-2
HONDA,CITY,2084,16783,2022-08-2
TOYOTA,YARIS_SEDAN,1174,9348,2022-08-2
NISSAN,VERSA,266,4771,2022-08-2
VW,VIRTUS,367,3535,2022-08-2
GM,COBALT,0,22,2022-08-2
TOYOTA,COROLLA,3386,28255,2022-08-2
GM,CRUZE_SEDAN,889,6773,2022-08-2
HONDA,CIVIC,6,1987,2022-08-2
CAOA_CHERY,ARRIZO_6,56,1201,2022-08-2
VW,JETTA,40,410,2022-08-2
AUDI,A3_SEDAN,26,351,2022-08-2
KIA,CERATO,22,291,2022-08-2
AUDI,A5,38,192,2022-08-2
MBENZ,CLA35,4,59,2022-08-2
BMW,420I,8,58,2022-08-2
MBENZ,CLASSE_A,10,47,2022-08-2
MBENZ,CLA45,2,41,2022-08-2
JAC,E-J7,3,20,2022-08-2
BMW,218I,2,15,2022-08-2
BMW,M440I,0,9,2022-08-2
BMW,M235I,0,7,2022-08-2
CITROEN,C4L,0,7,2022-08-2
BMW,430I,1,2,2022-08-2
MBENZ,CLASSE_C,0,2,2022-08-2
FORD,DEL_REY,0,1,2022-08-2
FORD,FUSION,0,1,2022-08-2
