marca,modelo,emplacados,acumulado_anual,data
VW,GOL,5773,53023,2022-09-2
FIAT,MOBI,7476,50035,2022-09-2
RENAULT,KWID,5719,40084,2022-09-2
FIAT,UNO,7,763,2022-09-2
VW,FUSCA,7,46,2022-09-2
VW,UP,5,15,2022-09-2
TOYOTA,ETIOS_HB,0,7,2022-09-2
CAOA_CHERY,QQ,0,5,2022-09-2
GM,CHEVETTE,1,4,2022-09-2
HYUNDAI,HB20,8836,70745,2022-09-2
GM,ONIX,8078,60582,2022-09-2
FIAT,ARGO,7093,42916,2022-09-2
PEUGEOT,208,2214,22922,2022-09-2
TOYOTA,YARIS_HB,2341,18775,2022-09-2
HONDA,CITY_HATCH,1452,11905,2022-09-2
RENAULT,SANDERO,777,7380,2022-09-2
VW,POLO,89,2414,2022-09-2
CITROEN,C3,1604,1753,2022-09-2
CAOA_CHERY,ICAR,596,728,2022-09-2
MINI,COOPER,68,528,2022-09-2
JAC,E-JS1,49,526,2022-09-2
GM,CRUZE_HB,98,1146,2022-09-2
NISSAN,LEAF,13,269,2022-09-2
AUDI,A3,3,153,2022-09-2
BMW,I3,26,99,2022-09-2
BMW,118i,16,51,2022-09-2
MBENZ,CLASSE_A,8,45,2022-09-2
FIAT,CRONOS,3066,26791,2022-09-2
VW,VOYAGE,4476,23020,2022-09-2
HYUNDAI,HB20S,1599,19010,2022-09-2
RENAULT,LOGAN,834,7509,2022-09-2
FIAT,SIENA,12,4124,2022-09-2
GM,PRISMA,1,9,2022-09-2
FORD,KA_SEDAN,1,6,2022-09-2
NISSAN,VERSA,0,5,2022-09-2
TOYOTA,ETIOS_SEDAN,0,5,2022-09-2
GM,CLASSIC,0,3,2022-09-2
GM,ONIX_PLUS,7781,51824,2022-09-2
HONDA,CITY,1742,18525,2022-09-2
TOYOTA,YARIS_SEDAN,1360,10708,2022-09-2
NISSAN,VERSA,196,4967,2022-09-2
VW,VIRTUS,313,3848,2022-09-2
GM,COBALT,2,24,2022-09-2
TOYOTA,COROLLA,3360,31615,2022-09-2
GM,CRUZE_SEDAN,780,7552,2022-09-2
HONDA,CIVIC,1,1988,2022-09-2
CAOA_CHERY,ARRIZO_6,45,1246,2022-09-2
VW,JETTA,5,415,2022-09-2
AUDI,A3_SEDAN,29,380,2022-09-2
KIA,CERATO,12,303,2022-09-2
HYUNDAI,IONIQ,238,238,2022-09-2
AUDI,A5,26,218,2022-09-2
BMW,420I,22,80,2022-09-2
MBENZ,CLA35,2,61,2022-09-2
MBENZ,CLASSE_A,4,51,2022-09-2
MBENZ,CLA45,9,50,2022-09-2
BMW,218I,13,28,2022-09-2
JAC,E-J7,8,28,2022-09-2
BMW,M440I,0,9,2022-09-2
BMW,M235I,0,7,2022-09-2
CITROEN,C4L,0,7,2022-09-2
MBENZ,CLASSE_C,1,3,2022-09-2
BMW,430I,0,2,2022-09-2
FORD,FUSION,1,2,2022-09-2
BMW,320I,278,3045,2022-09-2
MBENZ,CLASSE_C,51,691,2022-09-2
BMW,330E,99,455,2022-09-2
MBENZ,CLA250,21,350,2022-09-2
PORSCHE,PANAMERA,21,176,2022-09-2
AUDI,A4,36,129,2022-09-2
BMW,530E,17,90,2022-09-2
MBENZ,CLASSE_E,3,46,2022-09-2
AUDI,E_TRON_GT,10,43,2022-09-2
BMW,M340I,0,28,2022-09-2
TESLA,MODEL_S,3,24,2022-09-2
AUDI,A6,0,20,2022-09-2
FIAT,PALIO_WEEKEND,0,3,2022-09-2
FORD,BELINA,0,2,2022-09-2
VW,SPACE_FOX,0,2,2022-09-2
VW,PARATI,0,1,2022-09-2
AUDI,RS6_AVANT,1,19,2022-09-2
AUDI,RS4_AVANT,0,4,2022-09-2
GM,CARAVAN,0,1,2022-09-2
FIAT,DOBLO,1,314,2022-09-2
HONDA,FIT,0,230,2022-09-2
GM,BOLT,3,4,2022-09-2
FIAT,IDEA,0,1,2022-09-2
GM,SPIN,2062,11744,2022-09-2
KIA,CARNIVAL,25,287,2022-09-2
BYD,D1,4,13,2022-09-2
CHRYSLER,PACIFICA,0,10,2022-09-2
PORSCHE,911,108,440,2022-09-2
FORD,MUSTANG,55,273,2022-09-2
PORSCHE,TAYCAN,13,223,2022-09-2
BMW,M3,15,123,2022-09-2
PORSCHE,BOXSTER,0,81,2022-09-2
GM,CORVETTE,9,68,2022-09-2
JAGUAR,F-TYPE,13,45,2022-09-2
GM,CAMARO,5,44,2022-09-2
