"marca","modelo","emplacados","acumulado_anual","data"
"FIAT","PALIO","0","1","2024-02-02"
"VW","POLO","8063","15321","2024-02-02"
"HYUNDAI","HB20","5287","12765","2024-02-02"
"FIAT","ARGO","6507","11203","2024-02-02"
"GM","ONIX","4299","10013","2024-02-02"
"TOYOTA","YARIS_HB","1841","3844","2024-02-02"
"BYD","DOLPHIN","1807","3626","2024-02-02"
"CITROEN","C3","1515","3394","2024-02-02"
"PEUGEOT","208","1548","3373","2024-02-02"
"HONDA","CITY_HATCH","775","1569","2024-02-02"
"GWM","ORA_03","588","1284","2024-02-02"
"RENAULT","SANDERO","398","837","2024-02-02"
"JAC","E-JS1","140","251","2024-02-02"
"GM","CRUZE_HB","60","95","2024-02-02"
"AUDI","A3","23","46","2024-02-02"
"HONDA","CIVIC_TYPE-R","9","22","2024-02-02"
"TOYOTA","COROLLA_GR","2","9","2024-02-02"
"MBENZ","A45_AMG","4","6","2024-02-02"
"MBENZ","CLASSE_A","1","4","2024-02-02"
"FIAT","CRONOS","1657","4583","2024-02-02"
"HYUNDAI","HB20S","2205","3907","2024-02-02"
"RENAULT","LOGAN","209","281","2024-02-02"
"GM","PRISMA","0","1","2024-02-02"
"GM","ONIX_PLUS","3259","6818","2024-02-02"
"VW","VIRTUS","2538","4910","2024-02-02"
"TOYOTA","YARIS_SEDAN","1436","3121","2024-02-02"
"HONDA","CITY","914","1841","2024-02-02"
"NISSAN","VERSA","888","1826","2024-02-02"
"VW","POLO_SEDAN","0","1","2024-02-02"
"TOYOTA","COROLLA","2501","4643","2024-02-02"
"BYD","SEAL","455","1066","2024-02-02"
"NISSAN","SENTRA","356","664","2024-02-02"
"VW","JETTA","277","501","2024-02-02"
"GM","CRUZE_SEDAN","193","297","2024-02-02"
"HONDA","CIVIC","78","229","2024-02-02"
"AUDI","A3_SEDAN","22","78","2024-02-02"
"AUDI","A5","20","37","2024-02-02"
"MBENZ","CLA200","22","22","2024-02-02"
"BMW","420I","12","21","2024-02-02"
"CAOA_CHERY","ARRIZO_6","1","17","2024-02-02"
"MBENZ","CLA45","7","9","2024-02-02"
"MBENZ","CLA35","3","7","2024-02-02"
"BMW","218I","3","4","2024-02-02"
"HYUNDAI","IONIQ","0","3","2024-02-02"
"JAC","E-J7","0","3","2024-02-02"
"HYUNDAI","ELANTRA","0","1","2024-02-02"
"ROLLS_ROYCE","ROLLS_ROYCE","1","1","2024-02-02"
"VW","SANTANA","0","1","2024-02-02"
"BMW","320I","252","489","2024-02-02"
"MBENZ","CLASSE_C","43","100","2024-02-02"
"MBENZ","CLA200","19","68","2024-02-02"
