marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,4725,31453,2022-06-2
VW,GOL,9435,23607,2022-06-2
RENAULT,KWID,5043,23049,2022-06-2
FIAT,UNO,15,744,2022-06-2
VW,FUSCA,5,31,2022-06-2
VW,UP,0,10,2022-06-2
CAOA_CHERY,QQ,5,5,2022-06-2
FIAT,PALIO,1,2,2022-06-2
GM,CHEVETTE,1,2,2022-06-2
HYUNDAI,HB20,7938,42834,2022-06-2
GM,ONIX,3949,33850,2022-06-2
FIAT,ARGO,3097,22128,2022-06-2
PEUGEOT,208,4349,15081,2022-06-2
TOYOTA,YARIS_HB,2239,11992,2022-06-2
HONDA,CITY_HATCH,1564,7340,2022-06-2
RENAULT,SANDERO,1062,4704,2022-06-2
VW,POLO,248,2018,2022-06-2
MINI,COOPER,41,375,2022-06-2
JAC,E-JS1,56,317,2022-06-2
RENAULT,ZOE,129,191,2022-06-2
FIAT,500E,7,164,2022-06-2
GM,CRUZE_HB,150,769,2022-06-2
NISSAN,LEAF,36,208,2022-06-2
AUDI,A3,22,135,2022-06-2
BMW,I3,30,52,2022-06-2
MBENZ,CLASSE_A,5,26,2022-06-2
MBENZ,A45_AMG,3,23,2022-06-2
FIAT,CRONOS,6047,16140,2022-06-2
HYUNDAI,HB20S,2499,15456,2022-06-2
VW,VOYAGE,3603,8204,2022-06-2
RENAULT,LOGAN,895,4655,2022-06-2
FIAT,SIENA,83,4020,2022-06-2
GM,PRISMA,1,7,2022-06-2
NISSAN,VERSA,0,5,2022-06-2
FORD,KA_SEDAN,0,4,2022-06-2
TOYOTA,ETIOS_SEDAN,0,4,2022-06-2
NISSAN,V-DRIVE,1,2,2022-06-2
GM,ONIX_PLUS,3874,26941,2022-06-2
HONDA,CITY,2431,12358,2022-06-2
TOYOTA,YARIS_SEDAN,1276,6824,2022-06-2
NISSAN,VERSA,364,4166,2022-06-2
VW,VIRTUS,415,2787,2022-06-2
GM,COBALT,1,21,2022-06-2
TOYOTA,COROLLA,3834,20836,2022-06-2
GM,CRUZE_SEDAN,946,4835,2022-06-2
HONDA,CIVIC,6,1970,2022-06-2
CAOA_CHERY,ARRIZO_6,91,1080,2022-06-2
AUDI,A3_SEDAN,41,297,2022-06-2
VW,JETTA,178,264,2022-06-2
KIA,CERATO,39,246,2022-06-2
AUDI,A5,17,123,2022-06-2
MBENZ,CLA35,6,46,2022-06-2
BMW,420I,18,31,2022-06-2
MBENZ,CLASSE_A,8,31,2022-06-2
MBENZ,CLA45,18,28,2022-06-2
JAC,E-J7,5,17,2022-06-2
BMW,218I,2,9,2022-06-2
BMW,M440I,0,9,2022-06-2
BMW,M235I,0,7,2022-06-2
CITROEN,C4L,0,7,2022-06-2
MBENZ,CLASSE_C,0,2,2022-06-2
BMW,430I,0,1,2022-06-2
FORD,DEL_REY,0,1,2022-06-2
GM,VECTRA,0,1,2022-06-2
BMW,320I,317,2271,2022-06-2
MBENZ,CLASSE_C,34,613,2022-06-2
MBENZ,CLA250,76,215,2022-06-2
BMW,330E,105,190,2022-06-2
PORSCHE,PANAMERA,20,89,2022-06-2
AUDI,A4,6,61,2022-06-2
BMW,530E,17,41,2022-06-2
MBENZ,CLASSE_E,10,31,2022-06-2
BMW,M340I,1,27,2022-06-2
AUDI,E_TRON_GT,3,25,2022-06-2
TESLA,MODEL_S,1,18,2022-06-2
HONDA,ACCORD,2,17,2022-06-2
FIAT,PALIO_WEEKEND,1,2,2022-06-2
VW,SPACE_FOX,1,2,2022-06-2
FORD,BELINA,0,1,2022-06-2
AUDI,RS6_AVANT,3,13,2022-06-2
AUDI,RS4_AVANT,0,4,2022-06-2
GM,CARAVAN,0,1,2022-06-2
FIAT,DOBLO,2,311,2022-06-2
HONDA,FIT,1,230,2022-06-2
FIAT,IDEA,1,1,2022-06-2
GM,BOLT,0,1,2022-06-2
GM,SPIN,1539,6901,2022-06-2
KIA,CARNIVAL,28,206,2022-06-2
CHRYSLER,PACIFICA,1,7,2022-06-2
TOYOTA,SIENNA,1,5,2022-06-2
PORSCHE,911,69,251,2022-06-2
PORSCHE,TAYCAN,34,147,2022-06-2
FORD,MUSTANG,30,132,2022-06-2
PORSCHE,BOXSTER,2,76,2022-06-2
BMW,M3,23,70,2022-06-2
GM,CORVETTE,10,44,2022-06-2
PORSCHE,CAYMAN,2,38,2022-06-2
GM,CAMARO,4,29,2022-06-2
JAGUAR,F-TYPE,1,22,2022-06-2
VW,T_CROSS,6309,32871,2022-06-2
JEEP,COMPASS,6104,31029,2022-06-2
HYUNDAI,CRETA,5924,29255,2022-06-2
GM,TRACKER,5312,26966,2022-06-2
JEEP,RENEGADE,4123,24880,2022-06-2
FIAT,PULSE,4839,24035,2022-06-2
TOYOTA,COROLLA_CROSS,3920,22267,2022-06-2
NISSAN,KICKS,4315,17087,2022-06-2
VW,NIVUS,2930,16674,2022-06-2
CITROEN,C4_CACTUS,3664,10618,2022-06-2
JEEP,COMMANDER,1426,9657,2022-06-2
RENAULT,DUSTER,1839,9537,2022-06-2
TOYOTA,HILUX_SW4,1169,6700,2022-06-2
CAOA_CHERY,TIGGO_5X,1028,5151,2022-06-2
CAOA_CHERY,TIGGO_8,910,4524,2022-06-2
CAOA_CHERY,TIGGO_7,744,4480,2022-06-2
PEUGEOT,2008,125,3929,2022-06-2
VW,TAOS,837,3900,2022-06-2
CAOA_CHERY,TIGGO_3X,94,3412,2022-06-2
HONDA,HR-V,7,3248,2022-06-2
RENAULT,CAPTUR,209,2446,2022-06-2
HYUNDAI,TUCSON,240,2079,2022-06-2
BMW,X1,470,1978,2022-06-2
MITSUBISHI,ECLIPSE_CROSS,358,1562,2022-06-2
MITSUBISHI,PAJERO,138,1222,2022-06-2
GM,TRAILBLAZER,126,1180,2022-06-2
VOLVO,XC60,84,1001,2022-06-2
MITSUBISHI,Outlander,90,988,2022-06-2
FORD,BRONCO,229,787,2022-06-2
VOLVO,XC40,122,767,2022-06-2
HONDA,WR-V,0,710,2022-06-2
LAND_ROVER,DISCOVERY,123,709,2022-06-2
AUDI,Q5,102,679,2022-06-2
BMW,X3,246,677,2022-06-2
MBENZ,CLASSE_GLB,4,675,2022-06-2
FORD,TERRITORY,95,573,2022-06-2
PORSCHE,MACAN,74,544,2022-06-2
BMW,X5,106,519,2022-06-2
BMW,X4,104,507,2022-06-2
KIA,STONIC,64,480,2022-06-2
