marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,6741,56774,2022-10-2
VW,GOL,3099,56121,2022-10-2
RENAULT,KWID,6041,46124,2022-10-2
FIAT,UNO,10,773,2022-10-2
VW,FUSCA,6,52,2022-10-2
VW,UP,0,15,2022-10-2
TOYOTA,ETIOS_HB,0,7,2022-10-2
CAOA_CHERY,QQ,0,5,2022-10-2
GM,CHEVETTE,0,4,2022-10-2
HYUNDAI,HB20,9084,79829,2022-10-2
GM,ONIX,7768,68349,2022-10-2
FIAT,ARGO,6628,49544,2022-10-2
PEUGEOT,208,1232,24154,2022-10-2
TOYOTA,YARIS_HB,2254,21029,2022-10-2
HONDA,CITY_HATCH,1322,13227,2022-10-2
RENAULT,SANDERO,588,7968,2022-10-2
CITROEN,C3,2620,4373,2022-10-2
VW,POLO,740,3154,2022-10-2
CAOA_CHERY,ICAR,41,769,2022-10-2
MINI,COOPER,57,585,2022-10-2
JAC,E-JS1,27,553,2022-10-2
GM,CRUZE_HB,107,1253,2022-10-2
NISSAN,LEAF,9,278,2022-10-2
AUDI,A3,1,154,2022-10-2
BMW,I3,11,110,2022-10-2
BMW,118i,18,69,2022-10-2
MBENZ,CLASSE_A,6,51,2022-10-2
FIAT,CRONOS,3716,30507,2022-10-2
VW,VOYAGE,4229,27249,2022-10-2
HYUNDAI,HB20S,2155,21165,2022-10-2
RENAULT,LOGAN,689,8198,2022-10-2
FIAT,SIENA,7,4131,2022-10-2
GM,PRISMA,0,9,2022-10-2
FORD,KA_SEDAN,0,6,2022-10-2
TOYOTA,ETIOS_SEDAN,1,6,2022-10-2
NISSAN,VERSA,0,5,2022-10-2
GM,CLASSIC,0,3,2022-10-2
GM,ONIX_PLUS,7354,59178,2022-10-2
HONDA,CITY,1137,19662,2022-10-2
TOYOTA,YARIS_SEDAN,1456,12164,2022-10-2
NISSAN,VERSA,77,5044,2022-10-2
VW,VIRTUS,382,4230,2022-10-2
GM,COBALT,0,24,2022-10-2
TOYOTA,COROLLA,3286,34901,2022-10-2
GM,CRUZE_SEDAN,413,7965,2022-10-2
HONDA,CIVIC,2,1990,2022-10-2
CAOA_CHERY,ARRIZO_6,31,1277,2022-10-2
VW,JETTA,37,452,2022-10-2
AUDI,A3_SEDAN,10,390,2022-10-2
KIA,CERATO,14,317,2022-10-2
AUDI,A5,25,243,2022-10-2
HYUNDAI,IONIQ,2,240,2022-10-2
BMW,420I,12,92,2022-10-2
MBENZ,CLA35,10,71,2022-10-2
MBENZ,CLASSE_A,2,53,2022-10-2
MBENZ,CLA45,2,52,2022-10-2
BMW,218I,10,38,2022-10-2
JAC,E-J7,9,37,2022-10-2
BMW,M440I,0,9,2022-10-2
BMW,M235I,0,7,2022-10-2
CITROEN,C4L,0,7,2022-10-2
MBENZ,CLASSE_C,0,3,2022-10-2
BMW,430I,0,2,2022-10-2
FORD,FUSION,0,2,2022-10-2
BMW,320I,454,3499,2022-10-2
MBENZ,CLASSE_C,198,889,2022-10-2
BMW,330E,62,517,2022-10-2
