marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,7258,72756,2022-12-2
VW,GOL,9166,72606,2022-12-2
RENAULT,KWID,5083,57388,2022-12-2
FIAT,UNO,6,784,2022-12-2
VW,FUSCA,5,61,2022-12-2
VW,UP,0,16,2022-12-2
TOYOTA,ETIOS_HB,2,9,2022-12-2
FIAT,PALIO,2,5,2022-12-2
CAOA_CHERY,QQ,0,5,2022-12-2
HYUNDAI,HB20,6970,96255,2022-12-2
GM,ONIX,9511,85252,2022-12-2
FIAT,ARGO,6737,64016,2022-12-2
PEUGEOT,208,1787,29918,2022-12-2
TOYOTA,YARIS_HB,3221,26614,2022-12-2
HONDA,CITY_HATCH,1507,16115,2022-12-2
CITROEN,C3,3271,10834,2022-12-2
RENAULT,SANDERO,1365,10673,2022-12-2
VW,POLO,2887,8193,2022-12-2
CAOA_CHERY,ICAR,3,785,2022-12-2
MINI,COOPER,82,750,2022-12-2
JAC,E-JS1,20,610,2022-12-2
GM,CRUZE_HB,68,1399,2022-12-2
NISSAN,LEAF,6,347,2022-12-2
AUDI,A3,7,161,2022-12-2
BMW,I3,37,157,2022-12-2
BMW,118i,15,96,2022-12-2
MBENZ,CLASSE_A,5,58,2022-12-2
FIAT,CRONOS,4598,41680,2022-12-2
VW,VOYAGE,4002,35928,2022-12-2
HYUNDAI,HB20S,2920,25497,2022-12-2
RENAULT,LOGAN,916,10320,2022-12-2
FIAT,SIENA,4,4141,2022-12-2
FORD,KA_SEDAN,2,9,2022-12-2
GM,PRISMA,0,9,2022-12-2
NISSAN,VERSA,1,6,2022-12-2
TOYOTA,ETIOS_SEDAN,0,6,2022-12-2
GM,CLASSIC,0,3,2022-12-2
GM,ONIX_PLUS,8030,75243,2022-12-2
HONDA,CITY,1324,22132,2022-12-2
TOYOTA,YARIS_SEDAN,2004,15783,2022-12-2
NISSAN,VERSA,481,5656,2022-12-2
VW,VIRTUS,796,5626,2022-12-2
GM,COBALT,0,26,2022-12-2
TOYOTA,COROLLA,4330,42887,2022-12-2
GM,CRUZE_SEDAN,181,8517,2022-12-2
HONDA,CIVIC,5,1996,2022-12-2
CAOA_CHERY,ARRIZO_6,108,1456,2022-12-2
VW,JETTA,31,548,2022-12-2
AUDI,A3_SEDAN,84,480,2022-12-2
AUDI,A5,76,345,2022-12-2
KIA,CERATO,10,339,2022-12-2
HYUNDAI,IONIQ,0,240,2022-12-2
BMW,420I,40,146,2022-12-2
MBENZ,CLA45,22,80,2022-12-2
MBENZ,CLA35,4,78,2022-12-2
BMW,218I,11,59,2022-12-2
MBENZ,CLASSE_A,2,57,2022-12-2
JAC,E-J7,6,50,2022-12-2
BMW,M440I,1,10,2022-12-2
BMW,M235I,0,7,2022-12-2
CITROEN,C4L,0,7,2022-12-2
MBENZ,CLASSE_C,0,3,2022-12-2
BMW,430I,0,2,2022-12-2
FORD,FUSION,0,2,2022-12-2
BMW,320I,745,4909,2022-12-2
MBENZ,CLASSE_C,107,1092,2022-12-2
BMW,330E,67,609,2022-12-2
MBENZ,CLA250,50,458,2022-12-2
AUDI,A4,99,283,2022-12-2
PORSCHE,PANAMERA,24,227,2022-12-2
BMW,530E,17,126,2022-12-2
MBENZ,CLASSE_E,1,55,2022-12-2
AUDI,E_TRON_GT,5,50,2022-12-2
LEXUS,ES300,5,30,2022-12-2
BMW,M340I,0,29,2022-12-2
TESLA,MODEL_S,0,25,2022-12-2
FIAT,PALIO_WEEKEND,0,3,2022-12-2
FORD,BELINA,0,2,2022-12-2
VW,SPACE_FOX,0,2,2022-12-2
VW,PARATI,0,1,2022-12-2
AUDI,RS6_AVANT,11,37,2022-12-2
AUDI,RS4_AVANT,0,4,2022-12-2
GM,CARAVAN,0,1,2022-12-2
FIAT,DOBLO,0,314,2022-12-2
HONDA,FIT,0,231,2022-12-2
GM,BOLT,2,10,2022-12-2
FIAT,IDEA,0,1,2022-12-2
GM,SPIN,2432,17816,2022-12-2
KIA,CARNIVAL,16,346,2022-12-2
BYD,D1,7,20,2022-12-2
CHRYSLER,PACIFICA,0,12,2022-12-2
PORSCHE,911,50,614,2022-12-2
FORD,MUSTANG,10,330,2022-12-2
PORSCHE,TAYCAN,8,241,2022-12-2
BMW,M3,30,178,2022-12-2
GM,CORVETTE,4,82,2022-12-2
PORSCHE,BOXSTER,0,82,2022-12-2
JAGUAR,F-TYPE,13,74,2022-12-2
GM,CAMARO,3,53,2022-12-2
PORSCHE,CAYMAN,4,45,2022-12-2
GM,TRACKER,8283,70806,2022-12-2
VW,T_CROSS,6182,65341,2022-12-2
JEEP,COMPASS,6092,63564,2022-12-2
HYUNDAI,CRETA,6572,62651,2022-12-2
JEEP,RENEGADE,5420,51398,2022-12-2
FIAT,PULSE,4019,50522,2022-12-2
TOYOTA,COROLLA_CROSS,3894,42506,2022-12-2
VW,NIVUS,4756,39463,2022-12-2
NISSAN,KICKS,3667,38983,2022-12-2
RENAULT,DUSTER,2268,22690,2022-12-2
JEEP,COMMANDER,2281,22355,2022-12-2
CITROEN,C4_CACTUS,758,18450,2022-12-2
HONDA,HR-V,3198,15404,2022-12-2
TOYOTA,HILUX_SW4,1380,13718,2022-12-2
VW,TAOS,1495,11737,2022-12-2
CAOA_CHERY,TIGGO_8,715,10439,2022-12-2
FIAT,FASTBACK,3411,9889,2022-12-2
CAOA_CHERY,TIGGO_5X,689,9653,2022-12-2
CAOA_CHERY,TIGGO_7,880,8876,2022-12-2
PEUGEOT,2008,240,5176,2022-12-2
MITSUBISHI,ECLIPSE_CROSS,284,3725,2022-12-2
CAOA_CHERY,TIGGO_3X,40,3656,2022-12-2
BMW,X1,28,3479,2022-12-2
GM,TRAILBLAZER,296,3208,2022-12-2
RENAULT,CAPTUR,75,3007,2022-12-2
HYUNDAI,TUCSON,21,2239,2022-12-2
MITSUBISHI,PAJERO,349,1956,2022-12-2
VOLVO,XC40,309,1915,2022-12-2
VOLVO,XC60,312,1882,2022-12-2
GM,EQUINOX,356,1768,2022-12-2
AUDI,Q3,269,1623,2022-12-2
FORD,BRONCO,94,1583,2022-12-2
AUDI,Q5,219,1575,2022-12-2
LAND_ROVER,DISCOVERY,83,1418,2022-12-2
BMW,X3,33,1112,2022-12-2
MITSUBISHI,OUTLANDER,8,1087,2022-12-2
PORSCHE,MACAN,87,1084,2022-12-2
TOYOTA,RAV4,111,1084,2022-12-2
BMW,X5,45,1005,2022-12-2
FORD,TERRITORY,52,978,2022-12-2
