marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,5911,19236,2022-04-2
RENAULT,KWID,3849,15251,2022-04-2
VW,GOL,837,7192,2022-04-2
FIAT,UNO,17,706,2022-04-2
VW,FUSCA,3,20,2022-04-2
VW,UP,2,8,2022-04-2
FIAT,147,1,1,2022-04-2
FIAT,FIAT,1,1,2022-04-2
GM,CELTA,0,1,2022-04-2
HYUNDAI,HB20,6502,25263,2022-04-2
GM,ONIX,5574,22920,2022-04-2
FIAT,ARGO,5488,15617,2022-04-2
PEUGEOT,208,1736,7920,2022-04-2
TOYOTA,YARIS_HB,2324,7472,2022-04-2
HONDA,CITY_HATCH,1782,3977,2022-04-2
RENAULT,SANDERO,824,2553,2022-04-2
VW,POLO,329,1379,2022-04-2
MINI,COOPER,46,259,2022-04-2
JAC,E-JS1,37,189,2022-04-2
FIAT,500E,14,146,2022-04-2
RENAULT,ZOE,0,62,2022-04-2
GM,CRUZE_HB,185,454,2022-04-2
NISSAN,LEAF,33,135,2022-04-2
AUDI,A3,7,99,2022-04-2
BMW,I3,0,16,2022-04-2
MBENZ,CLASSE_A,2,15,2022-04-2
MBENZ,A45_AMG,7,13,2022-04-2
HYUNDAI,HB20S,3192,9955,2022-04-2
FIAT,CRONOS,3043,6411,2022-04-2
FIAT,SIENA,205,3806,2022-04-2
RENAULT,LOGAN,649,3431,2022-04-2
VW,VOYAGE,302,1090,2022-04-2
GM,PRISMA,0,6,2022-04-2
NISSAN,VERSA,0,5,2022-04-2
FORD,KA_SEDAN,1,4,2022-04-2
TOYOTA,ETIOS_SEDAN,0,2,2022-04-2
GM,CORSA_SEDAN,0,1,2022-04-2
GM,ONIX_PLUS,5240,17421,2022-04-2
HONDA,CITY,2182,7544,2022-04-2
TOYOTA,YARIS_SEDAN,1160,4195,2022-04-2
NISSAN,VERSA,560,3270,2022-04-2
VW,VIRTUS,433,1780,2022-04-2
GM,COBALT,0,15,2022-04-2
TOYOTA,COROLLA,3729,12835,2022-04-2
GM,CRUZE_SEDAN,1115,2804,2022-04-2
HONDA,CIVIC,77,1937,2022-04-2
CAOA_CHERY,ARRIZO_6,243,864,2022-04-2
AUDI,A3_SEDAN,41,223,2022-04-2
KIA,CERATO,50,175,2022-04-2
AUDI,A5,17,65,2022-04-2
VW,JETTA,4,45,2022-04-2
MBENZ,CLA35,11,27,2022-04-2
MBENZ,CLASSE_A,6,18,2022-04-2
BMW,M440I,1,9,2022-04-2
BMW,218I,0,7,2022-04-2
BMW,420I,4,7,2022-04-2
BMW,M235I,0,7,2022-04-2
MBENZ,CLA45,2,6,2022-04-2
CITROEN,C4L,5,5,2022-04-2
MBENZ,CLASSE_C,1,2,2022-04-2
BMW,430I,0,1,2022-04-2
FORD,DEL_REY,1,1,2022-04-2
GM,VECTRA,1,1,2022-04-2
BMW,320I,313,1584,2022-04-2
MBENZ,CLASSE_C,83,475,2022-04-2
PORSCHE,PANAMERA,9,62,2022-04-2
BMW,330E,14,59,2022-04-2
MBENZ,CLA250,45,59,2022-04-2
AUDI,A4,6,45,2022-04-2
BMW,M340I,6,23,2022-04-2
AUDI,E_TRON_GT,2,20,2022-04-2
BMW,530E,2,17,2022-04-2
TESLA,MODEL_S,3,13,2022-04-2
HONDA,ACCORD,1,12,2022-04-2
AUDI,A6,3,11,2022-04-2
FIAT,PALIO_WEEKEND,0,1,2022-04-2
AUDI,RS6_AVANT,1,5,2022-04-2
AUDI,RS4_AVANT,0,3,2022-04-2
GM,CARAVAN,0,1,2022-04-2
FIAT,DOBLO,3,303,2022-04-2
HONDA,FIT,4,229,2022-04-2
GM,BOLT,0,1,2022-04-2
GM,SPIN,1611,3438,2022-04-2
KIA,CARNIVAL,33,151,2022-04-2
CHRYSLER,PACIFICA,4,6,2022-04-2
TOYOTA,SIENNA,3,4,2022-04-2
PORSCHE,911,45,125,2022-04-2
FORD,MUSTANG,11,97,2022-04-2
PORSCHE,TAYCAN,23,92,2022-04-2
PORSCHE,BOXSTER,21,66,2022-04-2
PORSCHE,CAYMAN,7,29,2022-04-2
BMW,M3,6,27,2022-04-2
GM,CORVETTE,8,26,2022-04-2
GM,CAMARO,16,23,2022-04-2
JAGUAR,F-TYPE,0,18,2022-04-2
VW,T_CROSS,4570,20157,2022-04-2
JEEP,COMPASS,4766,19001,2022-04-2
HYUNDAI,CRETA,4255,16921,2022-04-2
JEEP,RENEGADE,4165,15268,2022-04-2
GM,TRACKER,4410,15092,2022-04-2
TOYOTA,COROLLA_CROSS,3861,14444,2022-04-2
FIAT,PULSE,5520,14249,2022-04-2
VW,NIVUS,2644,9657,2022-04-2
NISSAN,KICKS,2473,7880,2022-04-2
JEEP,COMMANDER,1894,6826,2022-04-2
RENAULT,DUSTER,1405,6388,2022-04-2
CITROEN,C4_CACTUS,570,5364,2022-04-2
TOYOTA,HILUX_SW4,1149,4255,2022-04-2
HONDA,HR-V,115,3220,2022-04-2
CAOA_CHERY,TIGGO_5X,859,3205,2022-04-2
CAOA_CHERY,TIGGO_3X,544,3073,2022-04-2
CAOA_CHERY,TIGGO_8,883,2982,2022-04-2
PEUGEOT,2008,289,2762,2022-04-2
CAOA_CHERY,TIGGO_7,717,2625,2022-04-2
VW,TAOS,225,2299,2022-04-2
RENAULT,CAPTUR,315,1997,2022-04-2
