marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,6895,30442,2023-06-2
RENAULT,KWID,5933,26646,2023-06-2
VW,GOL,89,5931,2023-06-2
VW,FUSCA,2,46,2023-06-2
FIAT,UNO,3,20,2023-06-2
FIAT,PALIO,1,4,2023-06-2
VW,UP,0,4,2023-06-2
GM,CHEVETTE,0,2,2023-06-2
FIAT,147,0,1,2023-06-2
GM,ONIX,8261,44110,2023-06-2
VW,POLO,9949,37722,2023-06-2
HYUNDAI,HB20,6420,34002,2023-06-2
FIAT,ARGO,6747,31920,2023-06-2
TOYOTA,YARIS_HB,1940,11880,2023-06-2
PEUGEOT,208,2718,11546,2023-06-2
CITROEN,C3,2930,11338,2023-06-2
HONDA,CITY_HATCH,791,6640,2023-06-2
RENAULT,SANDERO,1004,3559,2023-06-2
MINI,COOPER,50,366,2023-06-2
JAC,E-JS1,33,221,2023-06-2
CAOA_CHERY,ICAR,12,50,2023-06-2
GM,CRUZE_HB,34,205,2023-06-2
AUDI,A3,42,176,2023-06-2
NISSAN,LEAF,56,161,2023-06-2
MBENZ,CLASSE_A,5,25,2023-06-2
BMW,118i,4,16,2023-06-2
BMW,I3,1,12,2023-06-2
FIAT,CRONOS,4969,19195,2023-06-2
HYUNDAI,HB20S,1393,9499,2023-06-2
VW,VOYAGE,1,2068,2023-06-2
RENAULT,LOGAN,473,1366,2023-06-2
FIAT,SIENA,0,15,2023-06-2
GM,PRISMA,1,2,2023-06-2
TOYOTA,ETIOS_SEDAN,0,2,2023-06-2
FORD,FIESTA_SEDAN,0,1,2023-06-2
FORD,KA_SEDAN,0,1,2023-06-2
GM,CLASSIC,0,1,2023-06-2
GM,ONIX_PLUS,6419,35726,2023-06-2
VW,VIRTUS,2188,9689,2023-06-2
HONDA,CITY,1060,6597,2023-06-2
TOYOTA,YARIS_SEDAN,1294,6057,2023-06-2
NISSAN,VERSA,842,3571,2023-06-2
FORD,CORCEL,1,6,2023-06-2
TOYOTA,COROLLA,3751,19852,2023-06-2
NISSAN,SENTRA,408,1953,2023-06-2
VW,JETTA,184,644,2023-06-2
GM,CRUZE_SEDAN,101,562,2023-06-2
CAOA_CHERY,ARRIZO_6,41,332,2023-06-2
AUDI,A3_SEDAN,106,322,2023-06-2
HONDA,CIVIC,5,320,2023-06-2
AUDI,A5,43,239,2023-06-2
JAC,E-J7,44,65,2023-06-2
MBENZ,CLA45,8,60,2023-06-2
BMW,218I,6,50,2023-06-2
BMW,420I,7,49,2023-06-2
MBENZ,CLA35,6,38,2023-06-2
HYUNDAI,IONIQ,4,16,2023-06-2
KIA,CERATO,3,14,2023-06-2
MBENZ,CLASSE_A,0,5,2023-06-2
GM,IMPALA,0,1,2023-06-2
RENAULT,FLUENCE,0,1,2023-06-2
TOYOTA,PRIUS,0,1,2023-06-2
VW,SANTANA,0,1,2023-06-2
BMW,320I,402,2293,2023-06-2
BMW,330E,7,356,2023-06-2
MBENZ,CLASSE_C,9,306,2023-06-2
AUDI,A4,31,221,2023-06-2
MBENZ,CLA250,19,185,2023-06-2
PORSCHE,PANAMERA,27,175,2023-06-2
BMW,I4,21,72,2023-06-2
BYD,HAN,5,54,2023-06-2
BMW,530E,15,45,2023-06-2
LEXUS,ES300,9,37,2023-06-2
TOYOTA,CAMRY,2,30,2023-06-2
AUDI,E_TRON_GT,2,19,2023-06-2
VW,PARATI,0,2,2023-06-2
VW,SPACE_FOX,0,1,2023-06-2
AUDI,RS6_AVANT,3,20,2023-06-2
GM,CARAVAN,0,1,2023-06-2
VW,QUANTUM,0,1,2023-06-2
GM,BOLT,0,20,2023-06-2
FIAT,DOBLO,1,3,2023-06-2
NISSAN,LIVINA,1,1,2023-06-2
GM,SPIN,1510,8591,2023-06-2
KIA,CARNIVAL,0,23,2023-06-2
BYD,D1,6,20,2023-06-2
CHRYSLER,PACIFICA,4,5,2023-06-2
PORSCHE,911,67,412,2023-06-2
FORD,MUSTANG,34,218,2023-06-2
BMW,M3,19,168,2023-06-2
PORSCHE,TAYCAN,26,144,2023-06-2
PORSCHE,BOXSTER,13,113,2023-06-2
PORSCHE,CAYMAN,15,66,2023-06-2
JAGUAR,F-TYPE,4,41,2023-06-2
GM,CORVETTE,5,33,2023-06-2
MCLAREN,ARTURA,10,28,2023-06-2
VW,T_CROSS,7264,32035,2023-06-2
JEEP,COMPASS,4338,30350,2023-06-2
HYUNDAI,CRETA,4597,29948,2023-06-2
GM,TRACKER,4957,28964,2023-06-2
JEEP,RENEGADE,4084,22322,2023-06-2
NISSAN,KICKS,3473,22062,2023-06-2
TOYOTA,COROLLA_CROSS,3357,21483,2023-06-2
FIAT,PULSE,4401,21444,2023-06-2
VW,NIVUS,3751,20877,2023-06-2
HONDA,HR-V,4810,20544,2023-06-2
FIAT,FASTBACK,3384,17497,2023-06-2
RENAULT,DUSTER,1488,10773,2023-06-2
JEEP,COMMANDER,1338,10511,2023-06-2
TOYOTA,HILUX_SW4,1258,6871,2023-06-2
VW,TAOS,1069,6429,2023-06-2
CAOA_CHERY,TIGGO_5X,1571,3797,2023-06-2
CAOA_CHERY,TIGGO_8,677,3714,2023-06-2
CAOA_CHERY,TIGGO_7,457,2679,2023-06-2
VOLVO,XC60,392,2208,2023-06-2
GWM,HAVAL_H6,969,2162,2023-06-2
GM,EQUINOX,325,1893,2023-06-2
CITROEN,C4_CACTUS,143,1831,2023-06-2
BMW,X1,433,1601,2023-06-2
MITSUBISHI,ECLIPSE_CROSS,294,1418,2023-06-2
BYD,SONG_PLUS,353,1096,2023-06-2
PORSCHE,CAYENNE,208,990,2023-06-2
AUDI,Q5,217,974,2023-06-2
VOLVO,XC40,119,903,2023-06-2
PEUGEOT,2008,167,882,2023-06-2
GM,TRAILBLAZER,84,876,2023-06-2
MITSUBISHI,PAJERO,214,857,2023-06-2
PORSCHE,MACAN,86,752,2023-06-2
AUDI,Q3,124,697,2023-06-2
LAND_ROVER,DISCOVERY,126,695,2023-06-2
VOLVO,XC90,88,588,2023-06-2
FORD,TERRITORY,104,577,2023-06-2
MBENZ,CLASSE_GLB,85,559,2023-06-2
LAND_ROVER,DEFENDER,125,524,2023-06-2
KIA,STONIC,61,521,2023-06-2
LAND_ROVER,RANGE_ROVER,100,514,2023-06-2
