marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,4196,23547,2023-05-2
RENAULT,KWID,2725,20713,2023-05-2
VW,GOL,225,5842,2023-05-2
VW,FUSCA,8,44,2023-05-2
FIAT,UNO,3,17,2023-05-2
VW,UP,1,4,2023-05-2
FIAT,PALIO,1,3,2023-05-2
GM,CHEVETTE,0,2,2023-05-2
FIAT,147,0,1,2023-05-2
GM,ONIX,6947,35849,2023-05-2
VW,POLO,7636,27773,2023-05-2
HYUNDAI,HB20,4245,27582,2023-05-2
FIAT,ARGO,4710,25173,2023-05-2
TOYOTA,YARIS_HB,2458,9940,2023-05-2
PEUGEOT,208,2463,8828,2023-05-2
CITROEN,C3,1607,8408,2023-05-2
HONDA,CITY_HATCH,968,5849,2023-05-2
RENAULT,SANDERO,598,2555,2023-05-2
MINI,COOPER,73,316,2023-05-2
JAC,E-JS1,63,188,2023-05-2
CAOA_CHERY,ICAR,11,38,2023-05-2
GM,CRUZE_HB,45,171,2023-05-2
AUDI,A3,36,134,2023-05-2
NISSAN,LEAF,6,105,2023-05-2
MBENZ,CLASSE_A,5,20,2023-05-2
BMW,118i,2,12,2023-05-2
BMW,I3,1,11,2023-05-2
FIAT,CRONOS,2950,14227,2023-05-2
HYUNDAI,HB20S,1384,8107,2023-05-2
VW,VOYAGE,4,2067,2023-05-2
RENAULT,LOGAN,171,893,2023-05-2
FIAT,SIENA,0,15,2023-05-2
TOYOTA,ETIOS_SEDAN,0,2,2023-05-2
FORD,FIESTA_SEDAN,0,1,2023-05-2
FORD,KA_SEDAN,0,1,2023-05-2
GM,CLASSIC,0,1,2023-05-2
GM,CORSA_SEDAN,0,1,2023-05-2
GM,ONIX_PLUS,5624,29310,2023-05-2
VW,VIRTUS,2744,7501,2023-05-2
HONDA,CITY,1151,5538,2023-05-2
TOYOTA,YARIS_SEDAN,1068,4763,2023-05-2
NISSAN,VERSA,673,2729,2023-05-2
FORD,CORCEL,0,5,2023-05-2
TOYOTA,COROLLA,3891,16101,2023-05-2
NISSAN,SENTRA,636,1545,2023-05-2
GM,CRUZE_SEDAN,126,461,2023-05-2
VW,JETTA,186,460,2023-05-2
HONDA,CIVIC,7,315,2023-05-2
CAOA_CHERY,ARRIZO_6,51,291,2023-05-2
AUDI,A3_SEDAN,58,216,2023-05-2
AUDI,A5,32,196,2023-05-2
MBENZ,CLA45,1,52,2023-05-2
BMW,218I,11,44,2023-05-2
BMW,420I,5,42,2023-05-2
MBENZ,CLA35,5,32,2023-05-2
JAC,E-J7,1,21,2023-05-2
HYUNDAI,IONIQ,11,12,2023-05-2
KIA,CERATO,2,11,2023-05-2
MBENZ,CLASSE_A,0,5,2023-05-2
GM,IMPALA,1,1,2023-05-2
RENAULT,FLUENCE,0,1,2023-05-2
TOYOTA,PRIUS,0,1,2023-05-2
