marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,4074,8282,2023-02-2
RENAULT,KWID,3827,7134,2023-02-2
VW,GOL,1172,4559,2023-02-2
VW,FUSCA,6,13,2023-02-2
FIAT,UNO,4,10,2023-02-2
VW,UP,0,3,2023-02-2
FIAT,PALIO,1,2,2023-02-2
FIAT,147,1,1,2023-02-2
GM,CHEVETTE,0,1,2023-02-2
GM,ONIX,6084,13246,2023-02-2
FIAT,ARGO,4536,8817,2023-02-2
HYUNDAI,HB20,2992,7832,2023-02-2
VW,POLO,3762,5877,2023-02-2
TOYOTA,YARIS_HB,1576,3648,2023-02-2
CITROEN,C3,1313,2801,2023-02-2
HONDA,CITY_HATCH,1232,2674,2023-02-2
PEUGEOT,208,1163,2364,2023-02-2
RENAULT,SANDERO,392,880,2023-02-2
MINI,COOPER,38,87,2023-02-2
JAC,E-JS1,29,52,2023-02-2
FIAT,500E,9,17,2023-02-2
NISSAN,LEAF,6,86,2023-02-2
AUDI,A3,26,58,2023-02-2
GM,CRUZE_HB,20,45,2023-02-2
BMW,I3,1,10,2023-02-2
MBENZ,CLASSE_A,4,6,2023-02-2
BMW,118i,0,5,2023-02-2
FIAT,CRONOS,1653,4134,2023-02-2
HYUNDAI,HB20S,1098,2782,2023-02-2
VW,VOYAGE,57,2061,2023-02-2
RENAULT,LOGAN,54,340,2023-02-2
FIAT,SIENA,2,9,2023-02-2
GM,CLASSIC,0,1,2023-02-2
GM,ONIX_PLUS,5125,11289,2023-02-2
HONDA,CITY,1084,2175,2023-02-2
TOYOTA,YARIS_SEDAN,773,1872,2023-02-2
VW,VIRTUS,614,1104,2023-02-2
NISSAN,VERSA,370,683,2023-02-2
FORD,CORCEL_II,1,2,2023-02-2
TOYOTA,COROLLA,2847,5085,2023-02-2
HONDA,CIVIC,157,199,2023-02-2
GM,CRUZE_SEDAN,49,135,2023-02-2
CAOA_CHERY,ARRIZO_6,47,108,2023-02-2
AUDI,A5,47,91,2023-02-2
AUDI,A3_SEDAN,30,76,2023-02-2
VW,JETTA,53,68,2023-02-2
MBENZ,CLA45,13,29,2023-02-2
BMW,420I,10,26,2023-02-2
BMW,218I,13,22,2023-02-2
JAC,E-J7,10,14,2023-02-2
MBENZ,CLA35,5,13,2023-02-2
KIA,CERATO,2,7,2023-02-2
NISSAN,SENTRA,1,6,2023-02-2
HYUNDAI,IONIQ,1,1,2023-02-2
VW,SANTANA,1,1,2023-02-2
BMW,320I,330,584,2023-02-2
MBENZ,CLASSE_C,81,189,2023-02-2
BMW,330E,71,148,2023-02-2
MBENZ,CLA250,40,67,2023-02-2
AUDI,A4,29,57,2023-02-2
PORSCHE,PANAMERA,12,32,2023-02-2
BYD,HAN,6,23,2023-02-2
BMW,I4,8,19,2023-02-2
LEXUS,ES300,3,6,2023-02-2
TOYOTA,CAMRY,2,6,2023-02-2
BMW,530E,1,5,2023-02-2
MBENZ,CLASSE_E,3,5,2023-02-2
VW,PARATI,1,1,2023-02-2
VW,SPACE_FOX,0,1,2023-02-2
AUDI,RS6_AVANT,2,3,2023-02-2
GM,BOLT,4,8,2023-02-2
FIAT,DOBLO,1,1,2023-02-2
GM,SPIN,1309,2724,2023-02-2
KIA,CARNIVAL,5,15,2023-02-2
BYD,D1,8,9,2023-02-2
TOYOTA,SIENNA,3,3,2023-02-2
PORSCHE,911,69,148,2023-02-2
BMW,M3,31,64,2023-02-2
FORD,MUSTANG,36,62,2023-02-2
PORSCHE,TAYCAN,26,46,2023-02-2
JAGUAR,F-TYPE,7,17,2023-02-2
PORSCHE,CAYMAN,3,13,2023-02-2
GM,CORVETTE,4,10,2023-02-2
GM,CAMARO,2,6,2023-02-2
DODGE,CHALLENGER,4,5,2023-02-2
HYUNDAI,CRETA,4606,9575,2023-02-2
GM,TRACKER,3769,9065,2023-02-2
VW,T_CROSS,4294,8748,2023-02-2
JEEP,COMPASS,4430,8569,2023-02-2
NISSAN,KICKS,3495,6479,2023-02-2
JEEP,RENEGADE,3019,6068,2023-02-2
TOYOTA,COROLLA_CROSS,3335,5939,2023-02-2
VW,NIVUS,2774,5874,2023-02-2
FIAT,PULSE,2761,5776,2023-02-2
FIAT,FASTBACK,2393,5100,2023-02-2
RENAULT,DUSTER,2152,3647,2023-02-2
JEEP,COMMANDER,1577,2866,2023-02-2
HONDA,HR-V,1709,2407,2023-02-2
VW,TAOS,995,2179,2023-02-2
TOYOTA,HILUX_SW4,915,1852,2023-02-2
CAOA_CHERY,TIGGO_8,577,1165,2023-02-2
VOLVO,XC60,198,775,2023-02-2
CAOA_CHERY,TIGGO_7,375,747,2023-02-2
CAOA_CHERY,TIGGO_5X,293,586,2023-02-2
GM,EQUINOX,269,585,2023-02-2
CITROEN,C4_CACTUS,289,542,2023-02-2
MITSUBISHI,ECLIPSE_CROSS,234,449,2023-02-2
VOLVO,XC40,180,336,2023-02-2
MITSUBISHI,PAJERO,124,262,2023-02-2
PEUGEOT,2008,91,249,2023-02-2
AUDI,Q5,124,224,2023-02-2
AUDI,Q3,119,198,2023-02-2
PORSCHE,CAYENNE,109,189,2023-02-2
BYD,SONG_PLUS,145,178,2023-02-2
PORSCHE,MACAN,92,177,2023-02-2
BMW,X3,53,172,2023-02-2
SUZUKI,JIMNY_SIERRA,99,165,2023-02-2
KIA,STONIC,68,156,2023-02-2
MBENZ,CLASSE_GLB,74,154,2023-02-2
GM,TRAILBLAZER,80,151,2023-02-2
MBENZ,CLASSE_GLA,65,150,2023-02-2
KIA,SPORTAGE,69,149,2023-02-2
BMW,X6,72,146,2023-02-2
VOLVO,XC90,86,143,2023-02-2
BYD,YUAN_PLUS,64,143,2023-02-2
