marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,7493,26729,2022-05-2
RENAULT,KWID,2757,18007,2022-05-2
VW,GOL,6980,14172,2022-05-2
FIAT,UNO,23,729,2022-05-2
VW,FUSCA,6,26,2022-05-2
VW,UP,2,10,2022-05-2
TOYOTA,ETIOS_HB,2,2,2022-05-2
FIAT,147,0,1,2022-05-2
FIAT,FIAT,0,1,2022-05-2
HYUNDAI,HB20,9634,34897,2022-05-2
GM,ONIX,6982,29901,2022-05-2
FIAT,ARGO,3415,19031,2022-05-2
PEUGEOT,208,2812,10732,2022-05-2
TOYOTA,YARIS_HB,2281,9753,2022-05-2
HONDA,CITY_HATCH,1800,5777,2022-05-2
RENAULT,SANDERO,1089,3642,2022-05-2
VW,POLO,391,1770,2022-05-2
MINI,COOPER,75,334,2022-05-2
JAC,E-JS1,72,261,2022-05-2
FIAT,500E,11,157,2022-05-2
RENAULT,ZOE,0,62,2022-05-2
GM,CRUZE_HB,165,619,2022-05-2
NISSAN,LEAF,37,172,2022-05-2
AUDI,A3,14,113,2022-05-2
BMW,I3,6,22,2022-05-2
MBENZ,CLASSE_A,6,21,2022-05-2
MBENZ,A45_AMG,7,20,2022-05-2
HYUNDAI,HB20S,3003,12958,2022-05-2
FIAT,CRONOS,3682,10093,2022-05-2
VW,VOYAGE,3511,4601,2022-05-2
FIAT,SIENA,131,3937,2022-05-2
RENAULT,LOGAN,329,3760,2022-05-2
GM,PRISMA,0,6,2022-05-2
NISSAN,VERSA,0,5,2022-05-2
FORD,KA_SEDAN,0,4,2022-05-2
TOYOTA,ETIOS_SEDAN,2,4,2022-05-2
FORD,FIESTA_SEDAN,1,1,2022-05-2
GM,ONIX_PLUS,5647,23067,2022-05-2
HONDA,CITY,2383,9927,2022-05-2
TOYOTA,YARIS_SEDAN,1353,5548,2022-05-2
NISSAN,VERSA,532,3802,2022-05-2
VW,VIRTUS,592,2372,2022-05-2
GM,COBALT,5,20,2022-05-2
TOYOTA,COROLLA,4169,17002,2022-05-2
GM,CRUZE_SEDAN,1085,3889,2022-05-2
HONDA,CIVIC,27,1964,2022-05-2
CAOA_CHERY,ARRIZO_6,125,989,2022-05-2
AUDI,A3_SEDAN,33,256,2022-05-2
KIA,CERATO,32,207,2022-05-2
AUDI,A5,41,106,2022-05-2
VW,JETTA,41,86,2022-05-2
MBENZ,CLA35,13,40,2022-05-2
MBENZ,CLASSE_A,5,23,2022-05-2
BMW,420I,6,13,2022-05-2
JAC,E-J7,12,12,2022-05-2
MBENZ,CLA45,4,10,2022-05-2
BMW,M440I,0,9,2022-05-2
BMW,218I,0,7,2022-05-2
BMW,M235I,0,7,2022-05-2
CITROEN,C4L,2,7,2022-05-2
MBENZ,CLASSE_C,0,2,2022-05-2
BMW,430I,0,1,2022-05-2
FORD,DEL_REY,0,1,2022-05-2
GM,VECTRA,0,1,2022-05-2
BMW,320I,370,1954,2022-05-2
MBENZ,CLASSE_C,104,579,2022-05-2
MBENZ,CLA250,80,139,2022-05-2
BMW,330E,26,85,2022-05-2
PORSCHE,PANAMERA,7,69,2022-05-2
AUDI,A4,10,55,2022-05-2
BMW,M340I,3,26,2022-05-2
BMW,530E,7,24,2022-05-2
AUDI,E_TRON_GT,2,22,2022-05-2
MBENZ,CLASSE_E,12,21,2022-05-2
TESLA,MODEL_S,4,17,2022-05-2
AUDI,A6,4,15,2022-05-2
FIAT,PALIO_WEEKEND,0,1,2022-05-2
FORD,BELINA,1,1,2022-05-2
VW,SPACE_FOX,1,1,2022-05-2
AUDI,RS6_AVANT,5,10,2022-05-2
AUDI,RS4_AVANT,1,4,2022-05-2
GM,CARAVAN,0,1,2022-05-2
FIAT,DOBLO,6,309,2022-05-2
HONDA,FIT,0,229,2022-05-2
GM,BOLT,0,1,2022-05-2
GM,SPIN,1926,5362,2022-05-2
KIA,CARNIVAL,27,178,2022-05-2
CHRYSLER,PACIFICA,0,6,2022-05-2
TOYOTA,SIENNA,0,4,2022-05-2
PORSCHE,911,57,182,2022-05-2
PORSCHE,TAYCAN,21,113,2022-05-2
FORD,MUSTANG,5,102,2022-05-2
PORSCHE,BOXSTER,8,74,2022-05-2
BMW,M3,20,47,2022-05-2
PORSCHE,CAYMAN,7,36,2022-05-2
GM,CORVETTE,8,34,2022-05-2
GM,CAMARO,2,25,2022-05-2
JAGUAR,F-TYPE,3,21,2022-05-2
VW,T_CROSS,6406,26563,2022-05-2
JEEP,COMPASS,5924,24925,2022-05-2
HYUNDAI,CRETA,6411,23332,2022-05-2
GM,TRACKER,6564,21654,2022-05-2
JEEP,RENEGADE,5489,20757,2022-05-2
FIAT,PULSE,4950,19198,2022-05-2
TOYOTA,COROLLA_CROSS,3905,18347,2022-05-2
VW,NIVUS,4087,13744,2022-05-2
NISSAN,KICKS,4892,12772,2022-05-2
JEEP,COMMANDER,1405,8231,2022-05-2
RENAULT,DUSTER,1311,7698,2022-05-2
