marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,6807,39041,2024-07-02
RENAULT,KWID,3520,29155,2024-07-02
VW,GOL,3,33,2024-07-02
FIAT,UNO,3,10,2024-07-02
VW,UP,1,4,2024-07-02
GM,CHEVETTE,0,3,2024-07-02
FIAT,PALIO,0,2,2024-07-02
FORD,KA,0,1,2024-07-02
GM,CELTA,0,1,2024-07-02
VW,POLO,12543,70405,2024-07-02
GM,ONIX,7423,51026,2024-07-02
HYUNDAI,HB20,7228,49924,2024-07-02
FIAT,ARGO,8663,48284,2024-07-02
TOYOTA,YARIS_HB,2819,15132,2024-07-02
CITROEN,C3,2111,12242,2024-07-02
PEUGEOT,208,2371,12241,2024-07-02
BYD,DOLPHIN,1467,11074,2024-07-02
BYD,DOLPHIN_MINI,1488,10536,2024-07-02
HONDA,CITY_HATCH,1590,7264,2024-07-02
GWM,ORA_03,398,4085,2024-07-02
RENAULT,SANDERO,432,2527,2024-07-02
AUDI,A3,28,215,2024-07-02
GM,CRUZE_HB,4,177,2024-07-02
HONDA,CIVIC_TYPE-R,7,52,2024-07-02
MBENZ,CLASSE_A,4,37,2024-07-02
TOYOTA,COROLLA_GR,4,33,2024-07-02
BMW,118i,2,28,2024-07-02
FIAT,CRONOS,2603,19366,2024-07-02
HYUNDAI,HB20S,3048,17129,2024-07-02
RENAULT,LOGAN,644,2137,2024-07-02
VW,VOYAGE,1,8,2024-07-02
FIAT,SIENA,2,6,2024-07-02
FORD,KA_SEDAN,0,1,2024-07-02
GM,PRISMA,0,1,2024-07-02
GM,ONIX_PLUS,4864,34771,2024-07-02
VW,VIRTUS,2906,17892,2024-07-02
TOYOTA,YARIS_SEDAN,2291,12063,2024-07-02
HONDA,CITY,1701,7901,2024-07-02
NISSAN,VERSA,1327,7277,2024-07-02
GM,COBALT,0,1,2024-07-02
TOYOTA,COROLLA,3500,20002,2024-07-02
NISSAN,SENTRA,728,3260,2024-07-02
BYD,SEAL,221,2413,2024-07-02
