marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,4686,19352,2023-04-2
RENAULT,KWID,4152,17989,2023-04-2
VW,GOL,318,5618,2023-04-2
VW,FUSCA,8,36,2023-04-2
FIAT,UNO,1,14,2023-04-2
VW,UP,0,3,2023-04-2
FIAT,PALIO,0,2,2023-04-2
GM,CHEVETTE,1,2,2023-04-2
FIAT,147,0,1,2023-04-2
GM,ONIX,7376,28902,2023-04-2
HYUNDAI,HB20,7143,23337,2023-04-2
FIAT,ARGO,5475,20463,2023-04-2
VW,POLO,6063,20137,2023-04-2
TOYOTA,YARIS_HB,1818,7482,2023-04-2
CITROEN,C3,1965,6801,2023-04-2
PEUGEOT,208,1901,6365,2023-04-2
HONDA,CITY_HATCH,867,4881,2023-04-2
RENAULT,SANDERO,419,1957,2023-04-2
MINI,COOPER,74,243,2023-04-2
JAC,E-JS1,34,125,2023-04-2
FIAT,500E,4,28,2023-04-2
GM,CRUZE_HB,41,126,2023-04-2
NISSAN,LEAF,5,99,2023-04-2
AUDI,A3,20,98,2023-04-2
MBENZ,CLASSE_A,0,15,2023-04-2
BMW,118i,5,10,2023-04-2
BMW,I3,0,10,2023-04-2
FIAT,CRONOS,3701,11277,2023-04-2
HYUNDAI,HB20S,1916,6723,2023-04-2
VW,VOYAGE,1,2063,2023-04-2
RENAULT,LOGAN,142,722,2023-04-2
FIAT,SIENA,3,15,2023-04-2
TOYOTA,ETIOS_SEDAN,0,2,2023-04-2
FORD,FIESTA_SEDAN,0,1,2023-04-2
FORD,KA_SEDAN,0,1,2023-04-2
GM,CLASSIC,0,1,2023-04-2
GM,CORSA_SEDAN,0,1,2023-04-2
GM,ONIX_PLUS,5295,23686,2023-04-2
VW,VIRTUS,2091,4757,2023-04-2
HONDA,CITY,964,4387,2023-04-2
TOYOTA,YARIS_SEDAN,891,3695,2023-04-2
NISSAN,VERSA,632,2056,2023-04-2
FORD,CORCEL,1,5,2023-04-2
TOYOTA,COROLLA,3261,12210,2023-04-2
NISSAN,SENTRA,450,909,2023-04-2
GM,CRUZE_SEDAN,117,335,2023-04-2
HONDA,CIVIC,33,308,2023-04-2
VW,JETTA,61,274,2023-04-2
CAOA_CHERY,ARRIZO_6,71,240,2023-04-2
AUDI,A5,25,164,2023-04-2
AUDI,A3_SEDAN,41,158,2023-04-2
MBENZ,CLA45,7,51,2023-04-2
BMW,420I,8,37,2023-04-2
BMW,218I,4,33,2023-04-2
MBENZ,CLA35,5,27,2023-04-2
JAC,E-J7,6,20,2023-04-2
KIA,CERATO,0,9,2023-04-2
MBENZ,CLASSE_A,4,5,2023-04-2
HYUNDAI,IONIQ,0,1,2023-04-2
RENAULT,FLUENCE,0,1,2023-04-2
TOYOTA,PRIUS,0,1,2023-04-2
VW,SANTANA,0,1,2023-04-2
BMW,320I,336,1471,2023-04-2
BMW,330E,57,325,2023-04-2
MBENZ,CLASSE_C,31,256,2023-04-2
AUDI,A4,24,154,2023-04-2
MBENZ,CLA250,20,143,2023-04-2
PORSCHE,PANAMERA,41,117,2023-04-2
BYD,HAN,6,41,2023-04-2
BMW,I4,4,27,2023-04-2
LEXUS,ES300,6,24,2023-04-2
TOYOTA,CAMRY,1,17,2023-04-2
BMW,530E,6,13,2023-04-2
AUDI,E_TRON_GT,2,12,2023-04-2
