marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,6593,45616,2023-08-2
RENAULT,KWID,4569,37817,2023-08-2
VW,GOL,57,6110,2023-08-2
VW,FUSCA,9,60,2023-08-2
FIAT,UNO,1,25,2023-08-2
FIAT,PALIO,2,7,2023-08-2
VW,UP,2,6,2023-08-2
GM,CHEVETTE,0,3,2023-08-2
FIAT,147,1,2,2023-08-2
GM,ONIX,8345,62715,2023-08-2
VW,POLO,8220,62412,2023-08-2
HYUNDAI,HB20,8053,54180,2023-08-2
FIAT,ARGO,5892,44971,2023-08-2
PEUGEOT,208,3318,17967,2023-08-2
CITROEN,C3,2182,16549,2023-08-2
TOYOTA,YARIS_HB,1996,15485,2023-08-2
HONDA,CITY_HATCH,647,7960,2023-08-2
RENAULT,SANDERO,677,5584,2023-08-2
MINI,COOPER,65,489,2023-08-2
BYD,DOLPHIN,371,467,2023-08-2
JAC,E-JS1,32,292,2023-08-2
GM,CRUZE_HB,33,271,2023-08-2
AUDI,A3,21,245,2023-08-2
NISSAN,LEAF,0,168,2023-08-2
MBENZ,CLASSE_A,10,40,2023-08-2
TOYOTA,COROLLA_GR,15,32,2023-08-2
BMW,118i,6,28,2023-08-2
FIAT,CRONOS,5093,29322,2023-08-2
HYUNDAI,HB20S,2294,16604,2023-08-2
RENAULT,LOGAN,88,3377,2023-08-2
VW,VOYAGE,3,2071,2023-08-2
FIAT,SIENA,1,17,2023-08-2
GM,PRISMA,1,3,2023-08-2
TOYOTA,ETIOS_SEDAN,0,3,2023-08-2
FORD,KA_SEDAN,1,2,2023-08-2
DODGE,CHARGER,1,1,2023-08-2
FORD,FIESTA_SEDAN,0,1,2023-08-2
GM,ONIX_PLUS,7055,49192,2023-08-2
VW,VIRTUS,3107,15525,2023-08-2
TOYOTA,YARIS_SEDAN,2597,11159,2023-08-2
HONDA,CITY,935,8591,2023-08-2
NISSAN,VERSA,977,5633,2023-08-2
FORD,CORCEL,2,10,2023-08-2
TOYOTA,COROLLA,4175,27838,2023-08-2
NISSAN,SENTRA,376,2604,2023-08-2
VW,JETTA,371,1177,2023-08-2
GM,CRUZE_SEDAN,95,770,2023-08-2
CAOA_CHERY,ARRIZO_6,175,565,2023-08-2
AUDI,A3_SEDAN,33,426,2023-08-2
HONDA,CIVIC,66,390,2023-08-2
AUDI,A5,47,338,2023-08-2
HYUNDAI,IONIQ,103,120,2023-08-2
MBENZ,CLA45,10,74,2023-08-2
JAC,E-J7,3,73,2023-08-2
BMW,420I,8,68,2023-08-2
BMW,218I,5,59,2023-08-2
MBENZ,CLA35,3,43,2023-08-2
BYD,SEAL,14,23,2023-08-2
KIA,CERATO,0,15,2023-08-2
TESLA,MODEL_3,2,13,2023-08-2
MBENZ,CLASSE_A,0,5,2023-08-2
GM,IMPALA,0,1,2023-08-2
RENAULT,FLUENCE,0,1,2023-08-2
TOYOTA,PRIUS,0,1,2023-08-2
BMW,320I,425,3068,2023-08-2
MBENZ,CLASSE_C,117,516,2023-08-2
BMW,330E,69,434,2023-08-2
PORSCHE,PANAMERA,47,255,2023-08-2
AUDI,A4,9,252,2023-08-2
MBENZ,CLA250,12,213,2023-08-2
BMW,I4,26,112,2023-08-2
BMW,530E,12,66,2023-08-2
BYD,HAN,4,65,2023-08-2
LEXUS,ES300,10,57,2023-08-2
TOYOTA,CAMRY,2,33,2023-08-2
AUDI,E_TRON_GT,4,26,2023-08-2
VW,PARATI,0,2,2023-08-2
VW,SPACE_FOX,0,1,2023-08-2
AUDI,RS6_AVANT,4,27,2023-08-2
GM,CARAVAN,0,1,2023-08-2
VW,QUANTUM,0,1,2023-08-2
GM,BOLT,3,41,2023-08-2
FIAT,DOBLO,0,3,2023-08-2
NISSAN,LIVINA,0,1,2023-08-2
GM,SPIN,2341,12958,2023-08-2
BYD,D1,153,316,2023-08-2
KIA,CARNIVAL,0,23,2023-08-2
CHRYSLER,PACIFICA,3,10,2023-08-2
PORSCHE,911,109,572,2023-08-2
FORD,MUSTANG,27,270,2023-08-2
BMW,M3,24,210,2023-08-2
PORSCHE,TAYCAN,39,206,2023-08-2
PORSCHE,BOXSTER,30,157,2023-08-2
PORSCHE,CAYMAN,17,99,2023-08-2
JAGUAR,F-TYPE,8,57,2023-08-2
GM,CORVETTE,7,43,2023-08-2
MCLAREN,ARTURA,1,31,2023-08-2
VW,T_CROSS,5452,46038,2023-08-2
GM,TRACKER,6372,40773,2023-08-2
HYUNDAI,CRETA,5195,40457,2023-08-2
JEEP,COMPASS,5315,40369,2023-08-2
JEEP,RENEGADE,5044,32917,2023-08-2
VW,NIVUS,4936,32310,2023-08-2
HONDA,HR-V,5775,31299,2023-08-2
NISSAN,KICKS,4136,30950,2023-08-2
FIAT,PULSE,3742,29180,2023-08-2
TOYOTA,COROLLA_CROSS,3247,28359,2023-08-2
FIAT,FASTBACK,4308,25438,2023-08-2
RENAULT,DUSTER,1973,14547,2023-08-2
JEEP,COMMANDER,1922,13834,2023-08-2
TOYOTA,HILUX_SW4,1491,9623,2023-08-2
VW,TAOS,1481,9113,2023-08-2
CAOA_CHERY,TIGGO_5X,968,5966,2023-08-2
CAOA_CHERY,TIGGO_8,1290,5905,2023-08-2
GWM,HAVAL_H6,1452,4567,2023-08-2
CAOA_CHERY,TIGGO_7,693,3926,2023-08-2
VOLVO,XC60,412,3015,2023-08-2
GM,EQUINOX,328,2555,2023-08-2
CITROEN,C4_CACTUS,428,2486,2023-08-2
BMW,X1,385,2376,2023-08-2
BYD,SONG_PLUS,762,2303,2023-08-2
MITSUBISHI,ECLIPSE_CROSS,366,2048,2023-08-2
MITSUBISHI,PAJERO,207,1291,2023-08-2
PORSCHE,CAYENNE,100,1280,2023-08-2
AUDI,Q5,129,1219,2023-08-2
PEUGEOT,2008,146,1219,2023-08-2
GM,TRAILBLAZER,109,1108,2023-08-2
VOLVO,XC40,62,1071,2023-08-2
LAND_ROVER,DISCOVERY,202,1052,2023-08-2
AUDI,Q3,142,977,2023-08-2
PORSCHE,MACAN,110,940,2023-08-2
VOLVO,XC90,127,780,2023-08-2
FORD,TERRITORY,126,760,2023-08-2
LAND_ROVER,DEFENDER,97,742,2023-08-2
BMW,X4,140,698,2023-08-2
MBENZ,CLASSE_GLB,61,697,2023-08-2
KIA,STONIC,55,668,2023-08-2
