pos,marca,modelo,lastmonth,emplacados,acumulado_anual,market share,data
1º,VW,T_CROSS,5935,8185,39703,"8,05%",2024-07-02
2º,HYUNDAI,CRETA,5858,7281,37812,"7,67%",2024-07-02
3º,GM,TRACKER,5918,6391,35256,"7,15%",2024-07-02
4º,NISSAN,KICKS,4676,5819,33999,"6,89%",2024-07-02
5º,VW,NIVUS,5359,5570,31436,"6,37%",2024-07-02
6º,JEEP,RENEGADE,4535,5766,29258,"5,93%",2024-07-02
7º,JEEP,COMPASS,3959,4728,27517,"5,58%",2024-07-02
8º,FIAT,FASTBACK,3557,5651,27384,"5,55%",2024-07-02
9º,TOYOTA,COROLLA_CROSS,4238,4848,26691,"5,41%",2024-07-02
10º,HONDA,HR-V,4299,4635,26585,"5,39%",2024-07-02
11º,FIAT,PULSE,2957,3662,21763,"4,41%",2024-07-02
12º,CAOA_CHERY,TIGGO_5X,2521,1500,15631,"3,17%",2024-07-02
13º,CAOA_CHERY,TIGGO_7,1875,3471,12920,"2,62%",2024-07-02
14º,BYD,SONG,1911,2139,12176,"2,47%",2024-07-02
15º,GWM,HAVAL_H6,2153,2786,11829,"2,40%",2024-07-02
16º,RENAULT,DUSTER,1369,1369,11542,"2,34%",2024-07-02
17º,TOYOTA,HILUX_SW4,1454,1510,9141,"1,85%",2024-07-02
18º,VW,TAOS,1891,2076,9089,"1,84%",2024-07-02
19º,JEEP,COMMANDER,1587,1696,8772,"1,78%",2024-07-02
20º,RENAULT,KARDIAN,1753,2367,7558,"1,53%",2024-07-02
21º,CITROEN,C3_AIRCROSS,1014,924,4836,"0,98%",2024-07-02
22º,MITSUBISHI,ECLIPSE_CROSS,758,837,4820,"0,98%",2024-07-02
23º,CAOA_CHERY,TIGGO_8,564,356,4687,"0,95%",2024-07-02
24º,HONDA,ZR-V,341,215,2995,"0,61%",2024-07-02
25º,BMW,X1,555,415,2851,"0,58%",2024-07-02
26º,FORD,TERRITORY,289,508,2846,"0,58%",2024-07-02
27º,VW,TIGUAN,236,256,2066,"0,42%",2024-07-02
28º,VOLVO,XC60,244,256,1704,"0,35%",2024-07-02
29º,GM,EQUINOX,263,337,1610,"0,33%",2024-07-02
30º,BYD,YUAN_PLUS,219,151,1482,"0,30%",2024-07-02
31º,VOLVO,EX30,666,317,1481,"0,30%",2024-07-02
32º,TOYOTA,RAV4,198,143,1422,"0,29%",2024-07-02
33º,AUDI,Q3,212,256,1407,"0,29%",2024-07-02
34º,MITSUBISHI,PAJERO,249,345,1396,"0,28%",2024-07-02
35º,FORD,BRONCO,157,271,1336,"0,27%",2024-07-02
36º,PORSCHE,CAYENNE,324,175,1014,"0,21%",2024-07-02
37º,GM,TRAILBLAZER,133,173,987,"0,20%",2024-07-02
38º,LAND_ROVER,DISCOVERY,130,150,983,"0,20%",2024-07-02
39º,BMW,X3,184,151,878,"0,18%",2024-07-02
40º,AUDI,Q5,119,89,840,"0,17%",2024-07-02
