Marca,Modelo,Emplacados,Acumulado Anual,Categoria,Data
FIAT,PULSE,3662,21763,Suv's,2024-07-02
CAOA_CHERY,TIGGO_5X,1500,15631,Suv's,2024-07-02
CAOA_CHERY,TIGGO_7,3471,12920,Suv's,2024-07-02
BYD,SONG,2139,12176,Suv's,2024-07-02
GWM,HAVAL_H6,2786,11829,Suv's,2024-07-02
RENAULT,DUSTER,1369,11542,Suv's,2024-07-02
TOYOTA,HILUX_SW4,1510,9141,Suv's,2024-07-02
VW,TAOS,2076,9089,Suv's,2024-07-02
JEEP,COMMANDER,1696,8772,Suv's,2024-07-02
RENAULT,KARDIAN,2367,7558,Suv's,2024-07-02
CITROEN,C3_AIRCROSS,924,4836,Suv's,2024-07-02
MITSUBISHI,ECLIPSE_CROSS,837,4820,Suv's,2024-07-02
CAOA_CHERY,TIGGO_8,356,4687,Suv's,2024-07-02
HONDA,ZR-V,215,2995,Suv's,2024-07-02
BMW,X1,415,2851,Suv's,2024-07-02
FORD,TERRITORY,508,2846,Suv's,2024-07-02
VW,TIGUAN,256,2066,Suv's,2024-07-02
VOLVO,XC60,256,1704,Suv's,2024-07-02
GM,EQUINOX,337,1610,Suv's,2024-07-02
BYD,YUAN_PLUS,151,1482,Suv's,2024-07-02
VOLVO,EX30,317,1481,Suv's,2024-07-02
TOYOTA,RAV4,143,1422,Suv's,2024-07-02
AUDI,Q3,256,1407,Suv's,2024-07-02
MITSUBISHI,PAJERO,345,1396,Suv's,2024-07-02
FORD,BRONCO,271,1336,Suv's,2024-07-02
PORSCHE,CAYENNE,175,1014,Suv's,2024-07-02
GM,TRAILBLAZER,173,987,Suv's,2024-07-02
LAND_ROVER,DISCOVERY,150,983,Suv's,2024-07-02
BMW,X3,151,878,Suv's,2024-07-02
AUDI,Q5,89,840,Suv's,2024-07-02
